NAME,B19013_001E,state,county
"Pike County, Missouri",45753.0,29,163
"St. Charles County, Missouri",81411.0,29,183
"Custer County, Montana",55841.0,30,017
"Hill County, Montana",47141.0,30,041
"Powder River County, Montana",52457.0,30,075
"Park County, Montana",49194.0,30,067
"Roosevelt County, Montana",42904.0,30,085
"Blaine County, Montana",38083.0,30,005
"Liberty County, Montana",47419.0,30,051
"Richland County, Montana",67272.0,30,083
"Teton County, Montana",51862.0,30,099
"Toole County, Montana",46823.0,30,101
"Fallon County, Montana",60750.0,30,025
"Daniels County, Montana",54750.0,30,019
"Judith Basin County, Montana",45764.0,30,045
"Silver Bow County, Montana",42237.0,30,093
"Deer Lodge County, Montana",41783.0,30,023
"Jefferson County, Montana",66867.0,30,043
"McCone County, Montana",47500.0,30,055
"Wheatland County, Montana",41186.0,30,107
"Rosebud County, Montana",56549.0,30,087
"Carter County, Montana",44196.0,30,011
"Dawson County, Montana",59820.0,30,021
"Broadwater County, Montana",56469.0,30,007
"Lake County, Montana",45488.0,30,047
"Pondera County, Montana",45458.0,30,073
"Yellowstone County, Montana",59117.0,30,111
"Ravalli County, Montana",48930.0,30,081
"Valley County, Montana",55882.0,30,105
"Fergus County, Montana",50327.0,30,027
"Mineral County, Montana",41905.0,30,061
"Petroleum County, Montana",44688.0,30,069
"Sanders County, Montana",36984.0,30,089
"Flathead County, Montana",52966.0,30,029
"Wibaux County, Montana",50202.0,30,109
"Meagher County, Montana",43109.0,30,059
"Carbon County, Montana",57538.0,30,009
"Phillips County, Montana",46222.0,30,071
"Adams County, Nebraska",51536.0,31,001
"Lancaster County, Nebraska",58009.0,31,109
"Boone County, Nebraska",54063.0,31,011
"Rock County, Nebraska",52604.0,31,149
"Banner County, Nebraska",59625.0,31,007
"Sherman County, Nebraska",51172.0,31,163
"Richardson County, Nebraska",48096.0,31,147
"Howard County, Nebraska",54399.0,31,093
"Holt County, Nebraska",57468.0,31,089
"Furnas County, Nebraska",47989.0,31,065
"Gosper County, Nebraska",62545.0,31,073
"Saline County, Nebraska",51143.0,31,151
"Sarpy County, Nebraska",79549.0,31,153
"Thurston County, Nebraska",48149.0,31,173
"Washington County, Nebraska",70753.0,31,177
"Boyd County, Nebraska",50729.0,31,015
"Cherry County, Nebraska",53684.0,31,031
"Dodge County, Nebraska",53101.0,31,053
"Fillmore County, Nebraska",55625.0,31,059
"Garden County, Nebraska",44471.0,31,069
"Hooker County, Nebraska",39115.0,31,091
"Morrill County, Nebraska",45121.0,31,123
"Nemaha County, Nebraska",51922.0,31,127
"Seward County, Nebraska",67591.0,31,159
"Thomas County, Nebraska",50682.0,31,171
"Dakota County, Nebraska",55017.0,31,043
"Webster County, Nebraska",42298.0,31,181
"Antelope County, Nebraska",48716.0,31,003
"Butler County, Nebraska",55562.0,31,023
"Clay County, Nebraska",56316.0,31,035
"Custer County, Nebraska",49891.0,31,041
"Gage County, Nebraska",51662.0,31,067
"Hamilton County, Nebraska",64042.0,31,081
"Kearney County, Nebraska",56952.0,31,099
"Keith County, Nebraska",48901.0,31,101
"Madison County, Nebraska",52857.0,31,119
"Perkins County, Nebraska",62469.0,31,135
"Saunders County, Nebraska",66718.0,31,155
"Wayne County, Nebraska",62623.0,31,179
"Keya Paha County, Nebraska",49688.0,31,103
"Knox County, Nebraska",49752.0,31,107
"Lincoln County, Nebraska",56794.0,31,111
"Pierce County, Nebraska",56620.0,31,139
"Sioux County, Nebraska",46875.0,31,165
"Cass County, Nebraska",71139.0,31,025
"Dixon County, Nebraska",56775.0,31,051
"Dundy County, Nebraska",44350.0,31,057
"Greeley County, Nebraska",47128.0,31,077
"Hall County, Nebraska",54742.0,31,079
"Otoe County, Nebraska",54828.0,31,131
"Red Willow County, Nebraska",46859.0,31,145
"Dawes County, Nebraska",51748.0,31,045
"Cheyenne County, Nebraska",56538.0,31,033
"Dawson County, Nebraska",53769.0,31,047
"Valley County, Nebraska",55170.0,31,175
"McPherson County, Nebraska",48882.0,31,117
"Nance County, Nebraska",45833.0,31,125
"Stanton County, Nebraska",62687.0,31,167
"Harlan County, Nebraska",50344.0,31,083
