NAME,state,county,Estimate!!Total
"Pike County, Missouri",29,163,18489.0
"St. Charles County, Missouri",29,183,389985.0
"Custer County, Montana",30,017,11845.0
"Hill County, Montana",30,041,16439.0
"Powder River County, Montana",30,075,1619.0
"Park County, Montana",30,067,16246.0
"Roosevelt County, Montana",30,085,11228.0
"Blaine County, Montana",30,005,6727.0
"Liberty County, Montana",30,051,2280.0
"Richland County, Montana",30,083,11360.0
"Teton County, Montana",30,099,6080.0
"Toole County, Montana",30,101,4976.0
"Fallon County, Montana",30,025,2838.0
"Daniels County, Montana",30,019,1753.0
"Judith Basin County, Montana",30,045,1951.0
"Silver Bow County, Montana",30,093,34814.0
"Deer Lodge County, Montana",30,023,9100.0
"Jefferson County, Montana",30,043,11778.0
"McCone County, Montana",30,055,1630.0
"Wheatland County, Montana",30,107,2149.0
"Rosebud County, Montana",30,087,9250.0
"Carter County, Montana",30,011,1318.0
"Dawson County, Montana",30,021,9191.0
"Broadwater County, Montana",30,007,5834.0
"Lake County, Montana",30,047,29774.0
"Pondera County, Montana",30,073,6044.0
"Yellowstone County, Montana",30,111,157816.0
"Ravalli County, Montana",30,081,41902.0
"Valley County, Montana",30,105,7532.0
"Fergus County, Montana",30,027,11273.0
"Mineral County, Montana",30,061,4211.0
"Petroleum County, Montana",30,069,432.0
"Sanders County, Montana",30,089,11521.0
"Flathead County, Montana",30,029,98082.0
"Wibaux County, Montana",30,109,1175.0
"Meagher County, Montana",30,059,1968.0
"Carbon County, Montana",30,009,10546.0
"Phillips County, Montana",30,071,4124.0
"Adams County, Nebraska",31,001,31583.0
"Lancaster County, Nebraska",31,109,310094.0
"Boone County, Nebraska",31,011,5313.0
"Rock County, Nebraska",31,149,1350.0
"Banner County, Nebraska",31,007,696.0
"Sherman County, Nebraska",31,163,3042.0
"Richardson County, Nebraska",31,147,8009.0
"Howard County, Nebraska",31,093,6405.0
"Holt County, Nebraska",31,089,10245.0
"Furnas County, Nebraska",31,065,4786.0
"Gosper County, Nebraska",31,073,2015.0
"Saline County, Nebraska",31,151,14288.0
"Sarpy County, Nebraska",31,153,178351.0
"Thurston County, Nebraska",31,173,7140.0
"Washington County, Nebraska",31,177,20219.0
"Boyd County, Nebraska",31,015,2042.0
"Cherry County, Nebraska",31,031,5790.0
"Dodge County, Nebraska",31,053,36683.0
"Fillmore County, Nebraska",31,059,5574.0
"Garden County, Nebraska",31,069,1860.0
"Hooker County, Nebraska",31,091,691.0
"Morrill County, Nebraska",31,123,4841.0
"Nemaha County, Nebraska",31,127,7004.0
"Seward County, Nebraska",31,159,17127.0
"Thomas County, Nebraska",31,171,645.0
"Dakota County, Nebraska",31,043,20317.0
"Webster County, Nebraska",31,181,3571.0
"Antelope County, Nebraska",31,003,6372.0
"Butler County, Nebraska",31,023,8067.0
"Clay County, Nebraska",31,035,6232.0
"Custer County, Nebraska",31,041,10830.0
"Gage County, Nebraska",31,067,21595.0
"Hamilton County, Nebraska",31,081,9178.0
"Kearney County, Nebraska",31,099,6552.0
"Keith County, Nebraska",31,101,8099.0
"Madison County, Nebraska",31,119,35164.0
"Perkins County, Nebraska",31,135,2907.0
"Saunders County, Nebraska",31,155,21024.0
"Wayne County, Nebraska",31,179,9367.0
"Keya Paha County, Nebraska",31,103,792.0
"Knox County, Nebraska",31,107,8460.0
"Lincoln County, Nebraska",31,111,35433.0
"Pierce County, Nebraska",31,139,7157.0
"Sioux County, Nebraska",31,165,1266.0
"Cass County, Nebraska",31,025,25702.0
"Dixon County, Nebraska",31,051,5746.0
"Dundy County, Nebraska",31,057,2023.0
"Greeley County, Nebraska",31,077,2410.0
