NAME,state,Estimate!!Total!!Female!!Under 6 years,Estimate!!Total!!Female!!Under 6 years!!With health insurance coverage,Estimate!!Total!!Female,Estimate!!Total!!Male!!55 to 64 years!!No health insurance coverage,Estimate!!Total!!Male!!65 to 74 years,Estimate!!Total!!Male!!55 to 64 years,Estimate!!Total!!Male!!55 to 64 years!!With health insurance coverage,Estimate!!Total!!Male!!75 years and over,Estimate!!Total!!Male!!75 years and over!!With health insurance coverage,Estimate!!Total!!Male!!65 to 74 years!!With health insurance coverage,Estimate!!Total!!Male!!65 to 74 years!!No health insurance coverage,Estimate!!Total!!Male!!75 years and over!!No health insurance coverage,Estimate!!Total!!Female!!26 to 34 years,Estimate!!Total!!Female!!35 to 44 years,Estimate!!Total!!Female!!35 to 44 years!!With health insurance coverage,Estimate!!Total!!Female!!26 to 34 years!!With health insurance coverage,Estimate!!Total!!Female!!26 to 34 years!!No health insurance coverage,Estimate!!Total!!Female!!6 to 18 years!!With health insurance coverage,Estimate!!Total!!Female!!6 to 18 years!!No health insurance coverage,Estimate!!Total!!Female!!Under 6 years!!No health insurance coverage,Estimate!!Total!!Female!!6 to 18 years,Estimate!!Total!!Female!!19 to 25 years!!No health insurance coverage,Estimate!!Total!!Female!!19 to 25 years,Estimate!!Total!!Female!!19 to 25 years!!With health insurance coverage,Estimate!!Total!!Female!!55 to 64 years!!No health insurance coverage,Estimate!!Total!!Female!!65 to 74 years,Estimate!!Total!!Female!!55 to 64 years!!With health insurance coverage,Estimate!!Total!!Female!!75 years and over,Estimate!!Total!!Female!!75 years and over!!With health insurance coverage,Estimate!!Total!!Female!!65 to 74 years!!With health insurance coverage,Estimate!!Total!!Female!!65 to 74 years!!No health insurance coverage,Estimate!!Total!!Female!!45 to 54 years!!With health insurance coverage,Estimate!!Total!!Female!!45 to 54 years!!No health insurance coverage,Estimate!!Total!!Female!!35 to 44 years!!No health insurance coverage,Estimate!!Total!!Female!!45 to 54 years,Estimate!!Total!!Female!!55 to 64 years,Estimate!!Total!!Female!!75 years and over!!No health insurance coverage,Estimate!!Total!!Male!!Under 6 years,Estimate!!Total!!Male!!Under 6 years!!With health insurance coverage,Estimate!!Total,Estimate!!Total!!Male,Estimate!!Total!!Male!!6 to 18 years!!With health insurance coverage,Estimate!!Total!!Male!!6 to 18 years!!No health insurance coverage,Estimate!!Total!!Male!!Under 6 years!!No health insurance coverage,Estimate!!Total!!Male!!6 to 18 years,Estimate!!Total!!Male!!19 to 25 years,Estimate!!Total!!Male!!45 to 54 years!!No health insurance coverage,Estimate!!Total!!Male!!19 to 25 years!!No health insurance coverage,Estimate!!Total!!Male!!26 to 34 years,Estimate!!Total!!Male!!19 to 25 years!!With health insurance coverage,Estimate!!Total!!Male!!35 to 44 years,Estimate!!Total!!Male!!35 to 44 years!!With health insurance coverage,Estimate!!Total!!Male!!26 to 34 years!!With health insurance coverage,Estimate!!Total!!Male!!26 to 34 years!!No health insurance coverage,Estimate!!Total!!Male!!45 to 54 years!!With health insurance coverage,Estimate!!Total!!Male!!35 to 44 years!!No health insurance coverage,Estimate!!Total!!Male!!45 to 54 years
Texas,48,1169209.0,1077593.0,13930304.0,217096.0,921859.0,1476682.0,1259586.0,531780.0,525256.0,903328.0,18531.0,6524.0,1791685.0,1872577.0,1422699.0,1314585.0,477100.0,2289308.0,308325.0,91616.0,2597633.0,376442.0,1342972.0,966530.0,234240.0,1054868.0,1358493.0,744761.0,732581.0,1030623.0,24245.0,1420367.0,343499.0,449878.0,1763866.0,1592733.0,12180.0,1220322.0,1129078.0,27417645.0,13487341.0,2377633.0,323345.0,91244.0,2700978.0,1368642.0,352110.0,427500.0,1768869.0,941142.0,1807080.0,1336364.0,1228563.0,540306.0,1339019.0,470716.0,1691129.0
Utah,49,149189.0,139521.0,1505956.0,12282.0,90182.0,140853.0,128571.0,56341.0,56055.0,89277.0,905.0,286.0,198056.0,200981.0,175232.0,169977.0,28079.0,295629.0,25070.0,9668.0,320699.0,20490.0,166445.0,145955.0,12532.0,98749.0,133709.0,70828.0,70246.0,97445.0,1304.0,137249.0,17519.0,25749.0,154768.0,146241.0,582.0,154298.0,144859.0,3019579.0,1513623.0,314444.0,27505.0,9439.0,341949.0,170468.0,19854.0,25123.0,199536.0,145345.0,204937.0,174706.0,164393.0,35143.0,135205.0,30231.0,155059.0
Vermont,50,17323.0,17033.0,314321.0,1783.0,32709.0,46576.0,44793.0,17866.0,17843.0,32643.0,66.0,23.0,33127.0,35737.0,34246.0,30921.0,2206.0,43774.0,720.0,290.0,44494.0,1653.0,30592.0,28939.0,1830.0,34907.0,47653.0,24688.0,24685.0,34797.0,110.0,42073.0,1897.0,1491.0,43970.0,49483.0,3.0,18578.0,18263.0,618896.0,304575.0,46630.0,872.0,315.0,47502.0,32582.0,2956.0,2304.0,32480.0,30278.0,34237.0,31527.0,28347.0,4133.0,39089.0,2710.0,42045.0
Virginia,51,298651.0,285759.0,4227931.0,41501.0,338131.0,509042.0,467541.0,196430.0,195149.0,334782.0,3349.0,1281.0,510673.0,546508.0,482092.0,439451.0,71222.0,636626.0,37120.0,12892.0,673746.0,54054.0,385110.0,331056.0,46525.0,388335.0,510363.0,280725.0,278389.0,383354.0,4981.0,526284.0,61011.0,64416.0,587295.0,556888.0,2336.0,313122.0,299819.0,8197642.0,3969711.0,656522.0,40125.0,13303.0,696647.0,380970.0,63895.0,66182.0,481326.0,314788.0,507407.0,430684.0,386503.0,94823.0,482741.0,76723.0,546636.0
West Virginia,54,57598.0,56100.0,914693.0,8443.0,96383.0,127950.0,119507.0,56593.0,56556.0,96146.0,237.0,37.0,94413.0,109533.0,100572.0,85469.0,8944.0,131240.0,3986.0,1498.0,135226.0,7651.0,78439.0,70788.0,7672.0,104405.0,127816.0,78530.0,78467.0,104140.0,265.0,111179.0,9882.0,8961.0,121061.0,135488.0,63.0,60914.0,59321.0,1800270.0,885577.0,136481.0,4593.0,1593.0,141074.0,84071.0,11527.0,12281.0,92333.0,71790.0,107828.0,94604.0,76364.0,15969.0,106904.0,13224.0,118431.0
Washington,53,263958.0,257009.0,3622267.0,29361.0,307670.0,456697.0,427336.0,174149.0,173614.0,305310.0,2360.0,535.0,470042.0,469142.0,427753.0,422545.0,47497.0,558374.0,18871.0,6949.0,577245.0,32394.0,320271.0,287877.0,26950.0,337817.0,453689.0,233782.0,232747.0,335028.0,2789.0,436956.0,32415.0,41389.0,469371.0,480639.0,1035.0,280193.0,273080.0,7187395.0,3565128.0,580870.0,20329.0,7113.0,601199.0,330940.0,40175.0,47764.0,477385.0,283176.0,470292.0,411405.0,406342.0,71043.0,426428.0,58887.0,466603.0
Wisconsin,55,198489.0,191092.0,2882773.0,19810.0,252151.0,394346.0,374536.0,155897.0,155471.0,251148.0,1003.0,426.0,322235.0,342075.0,318399.0,294808.0,27427.0,452137.0,18842.0,7397.0,470979.0,23983.0,266923.0,242940.0,18843.0,269950.0,385792.0,219278.0,218865.0,268981.0,969.0,366634.0,21575.0,23676.0,388209.0,404635.0,413.0,206823.0,198974.0,5706206.0,2823433.0,473407.0,19423.0,7849.0,492830.0,273979.0,25921.0,33261.0,322915.0,240718.0,341919.0,307612.0,278616.0,44299.0,356652.0,34307.0,382573.0
Wyoming,56,22327.0,20663.0,281743.0,4436.0,26214.0,40268.0,35832.0,14670.0,14664.0,26088.0,126.0,6.0,34119.0,34070.0,29059.0,28241.0,5878.0,43951.0,3897.0,1664.0,47848.0,4440.0,25397.0,20957.0,3994.0,26158.0,35847.0,18387.0,18361.0,26001.0,157.0,28856.0,4740.0,5011.0,33596.0,39841.0,26.0,22465.0,20652.0,571923.0,290180.0,48584.0,3779.0,1813.0,52363.0,27834.0,5363.0,5623.0,35891.0,22211.0,36098.0,29919.0,28136.0,7755.0,29014.0,6179.0,34377.0
Puerto Rico,72,93725.0,91857.0,1767106.0,16275.0,161365.0,196260.0,179985.0,114454.0,113983.0,159910.0,1455.0,471.0,190825.0,222465.0,208413.0,176022.0,14803.0,257460.0,9109.0,1868.0,266569.0,10607.0,166032.0,155425.0,13901.0,196995.0,219578.0,160360.0,159461.0,195466.0,1529.0,221147.0,15509.0,14052.0,236656.0,233479.0,899.0,98772.0,96421.0,3361571.0,1594465.0,266925.0,9642.0,2351.0,276567.0,166593.0,21452.0,18118.0,176323.0,148475.0,197552.0,172094.0,144030.0,32293.0,185127.0,25458.0,206579.0
Alabama,01,171545.0,166730.0,2486008.0,27168.0,211057.0,301908.0,274740.0,122721.0,122422.0,209716.0,1341.0,299.0,285612.0,305934.0,261228.0,233484.0,52128.0,388063.0,13559.0,4815.0,401622.0,38861.0,227352.0,188491.0,29383.0,246729.0,305851.0,183379.0,182797.0,245810.0,919.0,289920.0,38681.0,44706.0,328601.0,335234.0,582.0,177658.0,172495.0,4785040.0,2299032.0,399813.0,15134.0,5163.0,414947.0,229881.0,41144.0,50533.0,260426.0,179348.0,277939.0,227920.0,197387.0,63039.0,261351.0,50019.0,302495.0
Alaska,02,32039.0,28933.0,349092.0,6651.0,27405.0,48456.0,41805.0,11122.0,11006.0,27071.0,334.0,116.0,48699.0,44158.0,37122.0,39703.0,8996.0,55783.0,6381.0,3106.0,62164.0,6713.0,33362.0,26649.0,6240.0,25590.0,39417.0,12976.0,12915.0,25148.0,442.0,37641.0,6806.0,7036.0,44447.0,45657.0,61.0,33074.0,29963.0,714106.0,365014.0,59880.0,7534.0,3111.0,67414.0,36103.0,8716.0,9550.0,49428.0,26553.0,44805.0,36209.0,36861.0,12567.0,38491.0,8596.0,47207.0
Arizona,04,256318.0,238377.0,3476309.0,39212.0,314123.0,387728.0,348516.0,214718.0,213529.0,310795.0,3328.0,1189.0,402787.0,421517.0,363046.0,345240.0,57547.0,539140.0,54927.0,17941.0,594067.0,53663.0,325186.0,271523.0,40517.0,355741.0,393307.0,262086.0,260202.0,351597.0,4144.0,372400.0,52383.0,58471.0,424783.0,433824.0,1884.0,265497.0,247627.0,6838270.0,3361961.0,558637.0,56951.0,17870.0,615588.0,337949.0,60055.0,69819.0,408324.0,268130.0,410593.0,338358.0,322154.0,86170.0,347386.0,72235.0,407441.0
Arkansas,05,111206.0,107219.0,1504568.0,14194.0,130766.0,178038.0,163844.0,80568.0,80302.0,130001.0,765.0,266.0,172268.0,183905.0,160229.0,146301.0,25967.0,239827.0,12497.0,3987.0,252324.0,19569.0,139744.0,120175.0,12812.0,149277.0,182342.0,110750.0,110422.0,148440.0,837.0,171829.0,18111.0,23676.0,189940.0,195154.0,328.0,116748.0,111567.0,2937135.0,1432567.0,251836.0,13110.0,5181.0,264946.0,140508.0,21862.0,28166.0,165218.0,112342.0,175203.0,145620.0,130695.0,34523.0,158710.0,29583.0,180572.0
California,06,1445628.0,1407471.0,19587272.0,177875.0,1408372.0,2229320.0,2051445.0,911340.0,904666.0,1387931.0,20441.0,6674.0,2545109.0,2570265.0,2279054.0,2246553.0,298556.0,3117142.0,137210.0,38157.0,3254352.0,216250.0,1898602.0,1682352.0,171691.0,1624692.0,2219527.0,1275645.0,1266215.0,1600287.0,24405.0,2328056.0,253705.0,291211.0,2581761.0,2391218.0,9430.0,1517004.0,1475684.0,38653948.0,19066676.0,3230682.0,143828.0,41320.0,3374510.0,1959227.0,296525.0,303871.0,2609898.0,1655356.0,2536205.0,2152212.0,2144873.0,465025.0,2224275.0,383993.0,2520800.0
Colorado,08,197421.0,190100.0,2729351.0,23866.0,215902.0,334776.0,310910.0,116519.0,115897.0,214167.0,1735.0,622.0,362880.0,362310.0,324928.0,322147.0,40733.0,429969.0,23141.0,7321.0,453110.0,26745.0,251843.0,225098.0,22704.0,236059.0,331345.0,156943.0,156044.0,233604.0,2455.0,324852.0,29884.0,37382.0,354736.0,354049.0,899.0,206774.0,199308.0,5439267.0,2709916.0,450064.0,24011.0,7466.0,474075.0,261859.0,35786.0,37600.0,377786.0,224259.0,370309.0,318547.0,310048.0,67738.0,316130.0,51762.0,351916.0
Connecticut,09,109033.0,105532.0,1815838.0,12104.0,149947.0,240596.0,228492.0,97189.0,96870.0,148849.0,1098.0,319.0,194147.0,217517.0,202189.0,176988.0,17159.0,275033.0,9315.0,3501.0,284348.0,12039.0,164958.0,152919.0,10423.0,173390.0,247576.0,146109.0,145401.0,171763.0,1627.0,253764.0,14573.0,15328.0,268337.0,257999.0,708.0,112840.0,109987.0,3530088.0,1714250.0,289144.0,9792.0,2853.0,298936.0,169379.0,18363.0,17534.0,191754.0,151845.0,203846.0,181332.0,164195.0,27559.0,231400.0,22514.0,249763.0
Delaware,10,32357.0,31334.0,485971.0,3356.0,45483.0,60093.0,56737.0,27626.0,27402.0,45150.0,333.0,224.0,55815.0,56413.0,52536.0,50371.0,5444.0,71186.0,3339.0,1023.0,74525.0,3330.0,42559.0,39229.0,3232.0,53232.0,65543.0,36768.0,36472.0,52907.0,325.0,61553.0,3974.0,3877.0,65527.0,68775.0,296.0,33011.0,31676.0,934743.0,448772.0,73482.0,2900.0,1335.0,76382.0,42226.0,4611.0,4596.0,52722.0,37630.0,51749.0,45626.0,44549.0,8173.0,54869.0,6123.0,59480.0
District of Columbia,11,25379.0,24939.0,357389.0,1392.0,19786.0,32288.0,30896.0,12195.0,12091.0,19655.0,131.0,104.0,74942.0,49814.0,48005.0,72206.0,2736.0,39608.0,769.0,440.0,40377.0,1845.0,45140.0,43295.0,1171.0,26257.0,35568.0,20899.0,20817.0,26022.0,235.0,36229.0,1613.0,1809.0,37842.0,36739.0,82.0,26457.0,26012.0,674258.0,316869.0,38410.0,1095.0,445.0,39505.0,35758.0,2524.0,2510.0,65547.0,33248.0,47693.0,44254.0,60799.0,4748.0,35116.0,3439.0,37640.0
Florida,12,653247.0,616562.0,10450241.0,170922.0,1031266.0,1262403.0,1091481.0,773830.0,767751.0,1016154.0,15112.0,6079.0,1162683.0,1250652.0,1020856.0,919903.0,242780.0,1370129.0,125634.0,36685.0,1495763.0,184712.0,873586.0,688874.0,192058.0,1197705.0,1235985.0,993329.0,983935.0,1176712.0,20993.0,1160585.0,234648.0,229796.0,1395233.0,1428043.0,9394.0,681750.0,644249.0,20288268.0,9838027.0,1424667.0,135578.0,37501.0,1560245.0,885246.0,254737.0,229857.0,1138155.0,655389.0,1188553.0,903501.0,805180.0,332975.0,1061842.0,285052.0,1316579.0
Georgia,13,385060.0,361161.0,5247993.0,70585.0,376738.0,575441.0,504856.0,199747.0,198627.0,372883.0,3855.0,1120.0,638569.0,704505.0,572717.0,497654.0,140915.0,843613.0,72434.0,23899.0,916047.0,106019.0,490063.0,384044.0,78149.0,449009.0,568631.0,297083.0,294845.0,444867.0,4142.0,612877.0,108000.0,131788.0,720877.0,646780.0,2238.0,402692.0,378881.0,10109427.0,4861434.0,869082.0,75920.0,23811.0,945002.0,477119.0,109491.0,122781.0,585347.0,354338.0,633826.0,489829.0,414950.0,170397.0,556031.0,143997.0,665522.0
Idaho,16,67556.0,64306.0,836739.0,11445.0,74433.0,100476.0,89031.0,43846.0,43684.0,74178.0,255.0,162.0,96369.0,102956.0,86666.0,78357.0,18012.0,149484.0,9977.0,3250.0,159461.0,12776.0,75004.0,62228.0,12092.0,78013.0,93195.0,53378.0,53190.0,77639.0,374.0,84640.0,14075.0,16290.0,98715.0,105287.0,188.0,70072.0,67054.0,1666375.0,829636.0,156014.0,10479.0,3018.0,166493.0,79006.0,15498.0,16291.0,94907.0,62715.0,102300.0,84257.0,73385.0,21522.0,82605.0,18043.0,98103.0
Hawaii,15,52450.0,51343.0,699252.0,4448.0,66987.0,88767.0,84319.0,42643.0,42435.0,66536.0,451.0,208.0,85996.0,86260.0,82697.0,81407.0,4589.0,101358.0,2891.0,1107.0,104249.0,4086.0,57780.0,53694.0,3710.0,71217.0,89008.0,60717.0,60504.0,70696.0,521.0,84048.0,3817.0,3563.0,87865.0,92718.0,213.0,55248.0,54336.0,1370508.0,671256.0,106702.0,2755.0,912.0,109457.0,57410.0,4693.0,5280.0,82080.0,52130.0,83044.0,78416.0,74328.0,7752.0,80927.0,4628.0,85620.0
Illinois,17,454954.0,444770.0,6464880.0,54438.0,493433.0,787989.0,733551.0,306424.0,304691.0,487958.0,5475.0,1733.0,785475.0,825350.0,741068.0,704610.0,80865.0,1028442.0,35420.0,10184.0,1063862.0,63013.0,598709.0,535696.0,54418.0,570853.0,790565.0,459273.0,456486.0,563773.0,7080.0,792790.0,68631.0,84282.0,861421.0,844983.0,2787.0,476076.0,464414.0,12643207.0,6178327.0,1063055.0,38096.0,11662.0,1101151.0,600909.0,82588.0,88969.0,780317.0,511940.0,804546.0,694695.0,651197.0,129120.0,744894.0,109851.0,827482.0
