NAME,state,county,Estimate!!Total!!Income in the past 12 months below poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months below poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months below poverty level!!85 years and over,Estimate!!Total!!Income in the past 12 months below poverty level,Estimate!!Total,Estimate!!Total!!Income in the past 12 months below poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months below poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months below poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!85 years and over
"Broward County, Florida",12,011,12262.0,34270.0,6002.0,255214.0,1892224.0,25067.0,26698.0,127077.0,23838.0,1637010.0,107863.0,103808.0,945885.0,116221.0,77318.0,249323.0,36592.0
"Monroe County, Florida",12,087,541.0,1887.0,163.0,8855.0,74863.0,863.0,602.0,4303.0,496.0,66008.0,2653.0,3456.0,36677.0,3292.0,4088.0,14698.0,1144.0
"Whitfield County, Georgia",13,313,482.0,1705.0,175.0,18229.0,102515.0,2649.0,2614.0,8787.0,1817.0,84286.0,7235.0,5578.0,47649.0,7188.0,3752.0,11721.0,1163.0
"Troup County, Georgia",13,285,424.0,1395.0,173.0,13932.0,67998.0,1593.0,1660.0,7352.0,1335.0,54066.0,4394.0,3450.0,30210.0,4521.0,2323.0,8384.0,784.0
"Harris County, Georgia",13,145,60.0,272.0,81.0,2261.0,33018.0,283.0,199.0,1217.0,149.0,30757.0,2330.0,1659.0,16328.0,2650.0,1403.0,5953.0,434.0
"Worth County, Georgia",13,321,46.0,230.0,85.0,4253.0,20455.0,794.0,504.0,2141.0,453.0,16202.0,913.0,900.0,8484.0,1194.0,1013.0,3439.0,259.0
"Evans County, Georgia",13,109,62.0,242.0,104.0,2782.0,10204.0,352.0,464.0,1334.0,224.0,7422.0,575.0,612.0,3729.0,589.0,438.0,1357.0,122.0
"Webster County, Georgia",13,307,14.0,87.0,0.0,660.0,2608.0,104.0,19.0,295.0,141.0,1948.0,177.0,93.0,975.0,91.0,123.0,467.0,22.0
"Glascock County, Georgia",13,125,40.0,81.0,0.0,536.0,2926.0,90.0,65.0,243.0,17.0,2390.0,160.0,95.0,1334.0,277.0,98.0,379.0,47.0
"Chatham County, Georgia",13,051,975.0,3341.0,274.0,43183.0,274052.0,5024.0,5006.0,24852.0,3711.0,230869.0,15078.0,16394.0,131893.0,15858.0,10171.0,37065.0,4410.0
"Lanier County, Georgia",13,173,78.0,425.0,49.0,2377.0,9981.0,253.0,326.0,1184.0,62.0,7604.0,633.0,483.0,4273.0,802.0,230.0,1028.0,155.0
"Madison County, Georgia",13,195,115.0,496.0,52.0,4990.0,28620.0,477.0,555.0,2703.0,592.0,23630.0,2030.0,1357.0,12714.0,1565.0,1138.0,4471.0,355.0
"Hart County, Georgia",13,147,249.0,577.0,68.0,4295.0,24681.0,428.0,423.0,2290.0,260.0,20386.0,1356.0,1298.0,10101.0,1528.0,1523.0,4208.0,372.0
"McIntosh County, Georgia",13,191,207.0,419.0,0.0,2777.0,13923.0,269.0,305.0,1327.0,250.0,11146.0,704.0,262.0,5671.0,528.0,894.0,2917.0,170.0
"Putnam County, Georgia",13,237,179.0,465.0,0.0,3396.0,21237.0,488.0,476.0,1549.0,239.0,17841.0,1091.0,856.0,9121.0,1142.0,1277.0,4103.0,251.0
