NAME,state,county,Estimate!!Total!!Income in the past 12 months below poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months below poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months below poverty level!!85 years and over,Estimate!!Total!!Income in the past 12 months below poverty level,Estimate!!Total,Estimate!!Total!!Income in the past 12 months below poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months below poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months below poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!85 years and over
"Washington County, Mississippi",28,151,351.0,1534.0,97.0,15496.0,46528.0,1873.0,2027.0,7641.0,1973.0,31032.0,2146.0,2009.0,16636.0,2171.0,1566.0,5939.0,565.0
"Perry County, Mississippi",28,111,117.0,365.0,35.0,2231.0,11915.0,286.0,187.0,1003.0,238.0,9684.0,635.0,619.0,5233.0,814.0,456.0,1756.0,171.0
"Choctaw County, Mississippi",28,019,99.0,213.0,36.0,1888.0,8108.0,291.0,199.0,884.0,166.0,6220.0,347.0,313.0,3178.0,397.0,448.0,1370.0,167.0
"Itawamba County, Mississippi",28,057,182.0,341.0,91.0,3428.0,22320.0,395.0,178.0,1899.0,342.0,18892.0,1375.0,1215.0,10161.0,1490.0,945.0,3282.0,424.0
"Carroll County, Mississippi",28,015,33.0,320.0,40.0,1477.0,9963.0,133.0,89.0,728.0,134.0,8486.0,576.0,405.0,4441.0,632.0,666.0,1652.0,114.0
"Grenada County, Mississippi",28,043,104.0,444.0,118.0,5090.0,20780.0,792.0,668.0,2467.0,497.0,15690.0,1062.0,849.0,8631.0,1037.0,987.0,2878.0,246.0
"Jefferson County, Mississippi",28,063,159.0,414.0,48.0,3418.0,6874.0,390.0,295.0,1693.0,419.0,3456.0,236.0,176.0,1903.0,172.0,118.0,709.0,142.0
"Greene County, Mississippi",28,041,7.0,112.0,25.0,1475.0,10164.0,109.0,177.0,872.0,173.0,8689.0,876.0,575.0,4460.0,758.0,481.0,1411.0,128.0
"Marshall County, Mississippi",28,093,143.0,803.0,48.0,6148.0,33601.0,649.0,969.0,2878.0,658.0,27453.0,1496.0,1725.0,15293.0,2074.0,1383.0,5164.0,318.0
"Quitman County, Mississippi",28,119,85.0,321.0,18.0,2549.0,7188.0,350.0,291.0,1139.0,345.0,4639.0,190.0,319.0,2574.0,281.0,267.0,910.0,98.0
"Bolivar County, Mississippi",28,011,182.0,897.0,110.0,10723.0,31018.0,1459.0,1308.0,5806.0,961.0,20295.0,1519.0,1405.0,10716.0,1392.0,990.0,3909.0,364.0
"Lamar County, Mississippi",28,073,187.0,749.0,61.0,10049.0,60739.0,1397.0,767.0,6041.0,847.0,50690.0,3969.0,4068.0,28537.0,4227.0,2107.0,7067.0,715.0
"Lee County, Mississippi",28,081,348.0,1189.0,163.0,13280.0,83733.0,1690.0,1626.0,6852.0,1412.0,70453.0,5614.0,5100.0,39328.0,5949.0,3246.0,10407.0,809.0
"Pike County, Mississippi",28,113,293.0,1599.0,169.0,13040.0,38532.0,1794.0,1630.0,6129.0,1426.0,25492.0,1734.0,1686.0,13627.0,1968.0,1589.0,4505.0,383.0
"Tallahatchie County, Mississippi",28,135,161.0,389.0,65.0,3357.0,10976.0,486.0,243.0,1489.0,524.0,7619.0,450.0,667.0,3789.0,441.0,417.0,1704.0,151.0
"Smith County, Mississippi",28,129,148.0,241.0,32.0,2697.0,15930.0,303.0,376.0,1298.0,299.0,13233.0,864.0,768.0,6869.0,1229.0,802.0,2505.0,196.0
"Stone County, Mississippi",28,131,46.0,421.0,33.0,3019.0,17686.0,485.0,207.0,1474.0,353.0,14667.0,895.0,1008.0,8209.0,1088.0,793.0,2471.0,203.0
"Warren County, Mississippi",28,149,215.0,1016.0,88.0,9594.0,46536.0,1156.0,1183.0,4953.0,983.0,36942.0,2822.0,2431.0,19612.0,2844.0,1741.0,6843.0,649.0
"Clarke County, Mississippi",28,023,126.0,484.0,23.0,3039.0,15772.0,352.0,394.0,1313.0,347.0,12733.0,887.0,615.0,6763.0,902.0,856.0,2406.0,304.0
"Kemper County, Mississippi",28,069,49.0,301.0,18.0,2760.0,9213.0,314.0,289.0,1516.0,273.0,6453.0,387.0,207.0,3450.0,473.0,647.0,1153.0,136.0
"Montgomery County, Mississippi",28,097,106.0,369.0,19.0,2748.0,10056.0,518.0,349.0,1090.0,297.0,7308.0,227.0,407.0,3925.0,511.0,519.0,1531.0,188.0
"Oktibbeha County, Mississippi",28,105,200.0,583.0,35.0,13304.0,44274.0,723.0,573.0,10431.0,759.0,30970.0,2005.0,2512.0,17753.0,2028.0,1407.0,4781.0,484.0
"Pearl River County, Mississippi",28,109,360.0,1152.0,109.0,8633.0,53522.0,1033.0,898.0,4385.0,696.0,44889.0,3425.0,2791.0,23301.0,3532.0,2228.0,8833.0,779.0
"Leake County, Mississippi",28,079,262.0,521.0,76.0,5731.0,22106.0,687.0,440.0,2620.0,1125.0,16375.0,1387.0,1204.0,9008.0,1164.0,783.0,2569.0,260.0
"Noxubee County, Mississippi",28,103,90.0,416.0,10.0,3114.0,10569.0,367.0,475.0,1539.0,217.0,7455.0,489.0,392.0,4173.0,734.0,371.0,1074.0,222.0
"Neshoba County, Mississippi",28,099,206.0,457.0,110.0,6826.0,28855.0,969.0,813.0,3567.0,704.0,22029.0,2083.0,1524.0,11411.0,2000.0,1147.0,3638.0,226.0
"Rankin County, Mississippi",28,121,591.0,1367.0,203.0,11957.0,145655.0,853.0,1196.0,6799.0,948.0,133698.0,10677.0,9972.0,74551.0,11715.0,5725.0,19405.0,1653.0
"Tate County, Mississippi",28,137,134.0,516.0,59.0,5194.0,26418.0,720.0,606.0,2506.0,653.0,21224.0,1405.0,1367.0,11607.0,1630.0,966.0,3794.0,455.0
"Lawrence County, Mississippi",28,077,57.0,296.0,9.0,2444.0,12606.0,215.0,287.0,1185.0,395.0,10162.0,710.0,719.0,5203.0,740.0,620.0,1981.0,189.0
"Panola County, Mississippi",28,107,161.0,653.0,60.0,7107.0,33999.0,677.0,1303.0,3656.0,597.0,26892.0,2210.0,1634.0,14691.0,2175.0,1512.0,4380.0,290.0
"Yalobusha County, Mississippi",28,161,101.0,237.0,11.0,1978.0,12213.0,196.0,179.0,1063.0,191.0,10235.0,620.0,784.0,5139.0,812.0,595.0,2132.0,153.0
"Chickasaw County, Mississippi",28,017,98.0,384.0,0.0,3576.0,16907.0,339.0,543.0,1804.0,408.0,13331.0,949.0,950.0,7020.0,1104.0,772.0,2345.0,191.0
"Copiah County, Mississippi",28,029,151.0,585.0,190.0,6662.0,27795.0,956.0,889.0,3226.0,665.0,21133.0,1412.0,1217.0,11387.0,1514.0,1240.0,4054.0,309.0
"George County, Mississippi",28,039,116.0,439.0,83.0,3397.0,23199.0,323.0,393.0,1743.0,300.0,19802.0,1672.0,1760.0,10413.0,1807.0,773.0,3143.0,234.0
"Hinds County, Mississippi",28,049,1093.0,4529.0,630.0,51764.0,232966.0,6692.0,6405.0,25861.0,6554.0,181202.0,13095.0,12390.0,104408.0,13099.0,7193.0,27505.0,3512.0
"Newton County, Mississippi",28,101,175.0,468.0,68.0,5446.0,20842.0,790.0,658.0,2691.0,596.0,15396.0,1201.0,929.0,8158.0,1286.0,863.0,2673.0,286.0
"Union County, Mississippi",28,145,216.0,234.0,116.0,4361.0,28009.0,401.0,399.0,2373.0,622.0,23648.0,2160.0,1632.0,12217.0,1869.0,1288.0,4187.0,295.0
"Sharkey County, Mississippi",28,125,14.0,213.0,21.0,1143.0,4409.0,146.0,57.0,589.0,103.0,3266.0,236.0,279.0,1651.0,272.0,138.0,628.0,62.0
"Tippah County, Mississippi",28,139,169.0,389.0,30.0,4264.0,21603.0,401.0,629.0,2157.0,489.0,17339.0,1140.0,1069.0,9411.0,1616.0,908.0,3004.0,191.0
"Forrest County, Mississippi",28,035,505.0,1399.0,216.0,17973.0,71762.0,2126.0,1551.0,10590.0,1586.0,53789.0,3900.0,4056.0,29925.0,3968.0,2353.0,8625.0,962.0
"Hancock County, Mississippi",28,045,346.0,1111.0,11.0,8316.0,46412.0,542.0,882.0,4428.0,996.0,38096.0,2230.0,2156.0,20130.0,3001.0,2429.0,7510.0,640.0
"Lafayette County, Mississippi",28,071,139.0,474.0,28.0,11490.0,48368.0,552.0,593.0,8822.0,882.0,36878.0,2701.0,2743.0,21386.0,2213.0,1582.0,5700.0,553.0
"Issaquena County, Mississippi",28,055,23.0,35.0,3.0,439.0,1053.0,28.0,94.0,233.0,23.0,614.0,20.0,25.0,338.0,10.0,37.0,176.0,8.0
"Lowndes County, Mississippi",28,087,545.0,1161.0,64.0,12759.0,57660.0,1589.0,1371.0,6497.0,1532.0,44901.0,3126.0,3239.0,25265.0,3028.0,2214.0,7409.0,620.0
"Leflore County, Mississippi",28,083,142.0,1044.0,172.0,11143.0,28445.0,1377.0,1748.0,5313.0,1347.0,17302.0,1242.0,1239.0,9373.0,1248.0,892.0,2998.0,310.0
"Wilkinson County, Mississippi",28,157,45.0,455.0,37.0,2587.0,7899.0,343.0,291.0,1082.0,334.0,5312.0,308.0,372.0,2865.0,278.0,349.0,1019.0,121.0
"Harrison County, Mississippi",28,047,896.0,3480.0,276.0,39694.0,197010.0,4900.0,5089.0,20284.0,4769.0,157316.0,11451.0,11089.0,88777.0,10781.0,7551.0,25515.0,2152.0
"Jefferson Davis County, Mississippi",28,065,150.0,465.0,63.0,3059.0,11320.0,222.0,234.0,1561.0,364.0,8261.0,493.0,423.0,4258.0,536.0,573.0,1821.0,157.0
"Lincoln County, Mississippi",28,085,204.0,781.0,122.0,7458.0,33870.0,968.0,682.0,3843.0,858.0,26412.0,2014.0,1727.0,14155.0,2051.0,1496.0,4662.0,307.0
"Scott County, Mississippi",28,123,165.0,829.0,123.0,8123.0,28037.0,840.0,1109.0,3974.0,1083.0,19914.0,1407.0,1424.0,10786.0,1532.0,1034.0,3463.0,268.0
"Winston County, Mississippi",28,159,211.0,544.0,40.0,4120.0,17918.0,637.0,537.0,1789.0,362.0,13798.0,1098.0,561.0,7121.0,985.0,881.0,2800.0,352.0
"Yazoo County, Mississippi",28,163,237.0,561.0,122.0,7609.0,23434.0,860.0,1017.0,3784.0,1028.0,15825.0,1405.0,1000.0,8389.0,1304.0,780.0,2506.0,441.0
"Benton County, Mississippi",28,009,67.0,197.0,91.0,1910.0,8173.0,75.0,54.0,1178.0,248.0,6263.0,550.0,265.0,3187.0,608.0,406.0,1157.0,90.0
"Franklin County, Mississippi",28,037,41.0,194.0,14.0,1264.0,7658.0,167.0,156.0,608.0,84.0,6394.0,494.0,382.0,3103.0,580.0,396.0,1340.0,99.0
"Jasper County, Mississippi",28,061,208.0,427.0,46.0,3810.0,16443.0,555.0,410.0,1672.0,492.0,12633.0,587.0,743.0,6531.0,957.0,976.0,2705.0,134.0
"Jones County, Mississippi",28,067,344.0,1512.0,255.0,14321.0,66926.0,1848.0,1976.0,6816.0,1570.0,52605.0,4213.0,3699.0,27815.0,4019.0,2840.0,9146.0,873.0
"Monroe County, Mississippi",28,095,349.0,853.0,100.0,6368.0,35336.0,733.0,851.0,2904.0,578.0,28968.0,2131.0,1787.0,15206.0,2071.0,1758.0,5560.0,455.0
"Sunflower County, Mississippi",28,133,136.0,565.0,47.0,7047.0,22389.0,876.0,784.0,3665.0,974.0,15342.0,1198.0,1002.0,8407.0,1191.0,812.0,2470.0,262.0
"Webster County, Mississippi",28,155,39.0,149.0,16.0,2482.0,9739.0,466.0,379.0,1240.0,193.0,7257.0,451.0,298.0,3888.0,562.0,532.0,1393.0,133.0
"Adams County, Mississippi",28,001,343.0,983.0,101.0,9930.0,28925.0,1323.0,1379.0,4774.0,1027.0,18995.0,847.0,890.0,10207.0,1100.0,1400.0,4054.0,497.0
"Clay County, Mississippi",28,025,132.0,440.0,55.0,4548.0,19499.0,506.0,581.0,2191.0,643.0,14951.0,1155.0,711.0,8088.0,952.0,847.0,2828.0,370.0
"Covington County, Mississippi",28,031,142.0,482.0,25.0,4579.0,18791.0,436.0,699.0,2230.0,565.0,14212.0,1161.0,855.0,7898.0,1008.0,761.0,2326.0,203.0
"Humphreys County, Mississippi",28,053,95.0,307.0,64.0,3215.0,8444.0,537.0,374.0,1445.0,393.0,5229.0,341.0,315.0,2787.0,308.0,307.0,1092.0,79.0
"Saline County, Missouri",29,195,171.0,502.0,85.0,3553.0,21772.0,454.0,431.0,1655.0,255.0,18219.0,1230.0,1327.0,9785.0,1387.0,861.0,3100.0,529.0
"Madison County, Missouri",29,123,72.0,249.0,158.0,1854.0,11902.0,198.0,96.0,984.0,97.0,10048.0,620.0,793.0,5240.0,799.0,559.0,1858.0,179.0
"Wright County, Missouri",29,229,195.0,407.0,14.0,4460.0,17927.0,550.0,725.0,2184.0,385.0,13467.0,905.0,632.0,6646.0,1136.0,949.0,2858.0,341.0
"Vernon County, Missouri",29,217,73.0,407.0,54.0,2719.0,19925.0,318.0,321.0,1337.0,209.0,17206.0,1301.0,1155.0,8883.0,1404.0,1035.0,3123.0,305.0
"Nodaway County, Missouri",29,147,152.0,240.0,20.0,4543.0,19462.0,240.0,442.0,3222.0,227.0,14919.0,854.0,811.0,8495.0,1034.0,1005.0,2510.0,210.0
"Chariton County, Missouri",29,041,89.0,131.0,53.0,871.0,7303.0,84.0,78.0,354.0,82.0,6432.0,494.0,479.0,3072.0,496.0,474.0,1228.0,189.0
"Grundy County, Missouri",29,079,98.0,165.0,84.0,1591.0,9733.0,97.0,249.0,719.0,179.0,8142.0,620.0,600.0,4078.0,559.0,552.0,1547.0,186.0
"Morgan County, Missouri",29,141,176.0,696.0,175.0,4541.0,19733.0,526.0,602.0,1954.0,412.0,15192.0,1018.0,772.0,7336.0,1178.0,1138.0,3456.0,294.0
"Wayne County, Missouri",29,223,104.0,534.0,86.0,3145.0,13074.0,342.0,201.0,1620.0,258.0,9929.0,535.0,493.0,4766.0,818.0,876.0,2241.0,200.0
"Bollinger County, Missouri",29,017,108.0,312.0,19.0,2074.0,12192.0,255.0,187.0,1001.0,192.0,10118.0,742.0,519.0,5228.0,804.0,625.0,2028.0,172.0
"Cape Girardeau County, Missouri",29,031,263.0,1041.0,199.0,12800.0,75105.0,993.0,1423.0,8099.0,782.0,62305.0,5050.0,3887.0,34143.0,4287.0,3276.0,10384.0,1278.0
"Shelby County, Missouri",29,205,31.0,79.0,16.0,870.0,5782.0,145.0,122.0,403.0,74.0,4912.0,374.0,327.0,2490.0,289.0,335.0,988.0,109.0
"Webster County, Missouri",29,225,311.0,549.0,65.0,6207.0,36849.0,797.0,938.0,2982.0,565.0,30642.0,2424.0,2427.0,16139.0,2844.0,1450.0,4890.0,468.0
"Atchison County, Missouri",29,005,36.0,91.0,16.0,530.0,5171.0,21.0,68.0,258.0,40.0,4641.0,313.0,245.0,2250.0,318.0,300.0,1035.0,180.0
"Bates County, Missouri",29,013,107.0,193.0,20.0,1973.0,15982.0,248.0,220.0,984.0,201.0,14009.0,1122.0,970.0,7095.0,1042.0,936.0,2588.0,256.0
"Benton County, Missouri",29,015,142.0,642.0,75.0,3584.0,18723.0,433.0,354.0,1642.0,296.0,15139.0,677.0,605.0,6494.0,901.0,1485.0,4459.0,518.0
"Carter County, Missouri",29,035,42.0,194.0,8.0,1057.0,6150.0,51.0,118.0,558.0,86.0,5093.0,475.0,294.0,2386.0,506.0,390.0,996.0,46.0
"Dade County, Missouri",29,057,79.0,147.0,18.0,1663.0,7400.0,183.0,187.0,865.0,184.0,5737.0,308.0,245.0,2795.0,418.0,426.0,1404.0,141.0
"Linn County, Missouri",29,115,74.0,192.0,14.0,1811.0,12052.0,205.0,285.0,794.0,247.0,10241.0,789.0,530.0,5077.0,836.0,763.0,2037.0,209.0
"Howell County, Missouri",29,091,360.0,1340.0,172.0,8738.0,39367.0,889.0,952.0,4030.0,995.0,30629.0,2150.0,1872.0,16448.0,2368.0,1940.0,5153.0,698.0
"Johnson County, Missouri",29,101,101.0,460.0,112.0,7536.0,48933.0,462.0,540.0,5429.0,432.0,41397.0,3079.0,3484.0,23834.0,3351.0,1587.0,5588.0,474.0
"Laclede County, Missouri",29,105,208.0,595.0,91.0,5241.0,35009.0,563.0,691.0,2715.0,378.0,29768.0,2242.0,1925.0,15756.0,2730.0,1679.0,5027.0,409.0
"Maries County, Missouri",29,125,49.0,122.0,12.0,1430.0,8808.0,140.0,152.0,795.0,160.0,7378.0,497.0,368.0,3882.0,500.0,442.0,1436.0,253.0
"Phelps County, Missouri",29,161,220.0,777.0,81.0,9293.0,41658.0,784.0,878.0,6056.0,497.0,32365.0,2360.0,2249.0,17472.0,2363.0,1918.0,5382.0,621.0
"Platte County, Missouri",29,165,234.0,683.0,82.0,6701.0,97737.0,817.0,738.0,3654.0,493.0,91036.0,6720.0,6566.0,51670.0,7747.0,3350.0,13664.0,1319.0
"St. Francois County, Missouri",29,187,317.0,860.0,109.0,9656.0,59379.0,990.0,885.0,5439.0,1056.0,49723.0,3991.0,3316.0,26459.0,3447.0,2741.0,8909.0,860.0
"Andrew County, Missouri",29,003,152.0,240.0,54.0,1477.0,17086.0,84.0,149.0,692.0,106.0,15609.0,1137.0,916.0,8310.0,1480.0,811.0,2688.0,267.0
"Carroll County, Missouri",29,033,46.0,140.0,12.0,1370.0,8716.0,125.0,175.0,748.0,124.0,7346.0,447.0,552.0,3573.0,548.0,521.0,1511.0,194.0
"Daviess County, Missouri",29,061,42.0,127.0,8.0,1048.0,8068.0,117.0,140.0,496.0,118.0,7020.0,593.0,452.0,3281.0,675.0,454.0,1415.0,150.0
"Knox County, Missouri",29,103,32.0,80.0,21.0,741.0,3869.0,85.0,74.0,372.0,77.0,3128.0,183.0,217.0,1498.0,275.0,224.0,677.0,54.0
"Marion County, Missouri",29,127,131.0,628.0,33.0,5036.0,27180.0,632.0,498.0,2552.0,562.0,22144.0,1741.0,1588.0,11551.0,1700.0,1414.0,3725.0,425.0
"Osage County, Missouri",29,151,45.0,99.0,30.0,953.0,13318.0,98.0,56.0,516.0,109.0,12365.0,1035.0,790.0,6619.0,1025.0,603.0,2009.0,284.0
"Ripley County, Missouri",29,181,110.0,533.0,31.0,3633.0,13528.0,373.0,536.0,1866.0,184.0,9895.0,736.0,547.0,4987.0,648.0,813.0,1972.0,192.0
"Warren County, Missouri",29,219,41.0,377.0,77.0,4486.0,33640.0,611.0,728.0,2230.0,422.0,29154.0,2170.0,1941.0,15141.0,2207.0,1860.0,5446.0,389.0
"Audrain County, Missouri",29,007,121.0,377.0,62.0,3589.0,23484.0,368.0,485.0,1856.0,320.0,19895.0,1495.0,1261.0,9953.0,1659.0,1221.0,3900.0,406.0
"Christian County, Missouri",29,043,207.0,934.0,233.0,8468.0,83407.0,925.0,791.0,4314.0,1064.0,74939.0,6648.0,5419.0,40219.0,6362.0,3334.0,11835.0,1122.0
"Greene County, Missouri",29,077,1516.0,3783.0,448.0,49504.0,276511.0,4495.0,4354.0,31703.0,3205.0,227007.0,14780.0,15697.0,125591.0,16234.0,12310.0,37412.0,4983.0
"Harrison County, Missouri",29,081,95.0,234.0,25.0,1547.0,8327.0,175.0,153.0,669.0,196.0,6780.0,529.0,552.0,3208.0,482.0,496.0,1318.0,195.0
"St. Clair County, Missouri",29,185,125.0,178.0,39.0,1591.0,9054.0,201.0,123.0,798.0,127.0,7463.0,437.0,454.0,3305.0,432.0,750.0,1907.0,178.0
"Adair County, Missouri",29,001,169.0,251.0,76.0,5970.0,22581.0,250.0,432.0,4591.0,201.0,16611.0,1216.0,1025.0,8929.0,1289.0,745.0,2912.0,495.0
"Scotland County, Missouri",29,199,41.0,64.0,16.0,753.0,4778.0,113.0,128.0,334.0,57.0,4025.0,413.0,301.0,2052.0,349.0,163.0,612.0,135.0
"Sullivan County, Missouri",29,211,32.0,147.0,24.0,1080.0,6146.0,65.0,169.0,539.0,104.0,5066.0,315.0,298.0,2710.0,432.0,285.0,907.0,119.0
"Clark County, Missouri",29,045,39.0,92.0,25.0,889.0,6668.0,120.0,102.0,395.0,116.0,5779.0,381.0,406.0,2912.0,396.0,438.0,1173.0,73.0
"Jefferson County, Missouri",29,099,674.0,2131.0,299.0,22663.0,220557.0,2358.0,2563.0,12499.0,2139.0,197894.0,15645.0,13374.0,111168.0,15631.0,7938.0,32042.0,2096.0
"Lewis County, Missouri",29,111,49.0,140.0,33.0,1440.0,9276.0,164.0,190.0,749.0,115.0,7836.0,585.0,413.0,3987.0,776.0,428.0,1453.0,194.0
"New Madrid County, Missouri",29,143,68.0,391.0,49.0,4005.0,17357.0,466.0,516.0,2097.0,418.0,13352.0,896.0,755.0,7034.0,991.0,833.0,2585.0,258.0
"Perry County, Missouri",29,157,108.0,176.0,31.0,1535.0,18787.0,157.0,237.0,776.0,50.0,17252.0,1495.0,1128.0,8991.0,1428.0,921.0,2975.0,314.0
"Ralls County, Missouri",29,173,59.0,167.0,10.0,1258.0,10085.0,184.0,31.0,715.0,92.0,8827.0,690.0,532.0,4420.0,573.0,528.0,1910.0,174.0
"Ray County, Missouri",29,177,122.0,286.0,44.0,3344.0,22552.0,356.0,523.0,1611.0,402.0,19208.0,1416.0,999.0,10302.0,1520.0,999.0,3611.0,361.0
"St. Louis County, Missouri",29,189,3085.0,9910.0,2118.0,94394.0,977860.0,10297.0,10148.0,49928.0,8908.0,883466.0,61315.0,58292.0,478694.0,68363.0,44848.0,151180.0,20774.0
"Stone County, Missouri",29,209,83.0,635.0,125.0,3930.0,31112.0,309.0,357.0,2096.0,325.0,27182.0,1215.0,1060.0,11754.0,1965.0,2477.0,7910.0,801.0
"Barry County, Missouri",29,009,243.0,874.0,103.0,7346.0,34950.0,824.0,960.0,3579.0,763.0,27604.0,1748.0,1349.0,13994.0,2161.0,1969.0,5865.0,518.0
"Boone County, Missouri",29,019,294.0,1675.0,103.0,30607.0,167385.0,1755.0,2267.0,22958.0,1555.0,136778.0,9523.0,10096.0,80279.0,10088.0,5377.0,19601.0,1814.0
"Cedar County, Missouri",29,039,146.0,233.0,21.0,2537.0,13715.0,254.0,386.0,1331.0,166.0,11178.0,798.0,668.0,5277.0,1034.0,866.0,2229.0,306.0
"Crawford County, Missouri",29,055,266.0,605.0,42.0,4667.0,23887.0,523.0,522.0,2418.0,291.0,19220.0,1375.0,1197.0,10084.0,1645.0,1144.0,3492.0,283.0
"Iron County, Missouri",29,093,97.0,240.0,36.0,2064.0,9862.0,170.0,208.0,1112.0,201.0,7798.0,491.0,400.0,4037.0,598.0,465.0,1688.0,119.0
"Livingston County, Missouri",29,117,124.0,294.0,78.0,2267.0,13798.0,307.0,243.0,985.0,236.0,11531.0,844.0,754.0,5937.0,818.0,683.0,2112.0,383.0
"Moniteau County, Missouri",29,135,122.0,213.0,43.0,1929.0,14587.0,211.0,279.0,927.0,134.0,12658.0,1164.0,984.0,6373.0,1235.0,619.0,2107.0,176.0
"Oregon County, Missouri",29,149,113.0,483.0,74.0,2493.0,10433.0,276.0,454.0,966.0,127.0,7940.0,426.0,330.0,3897.0,617.0,737.0,1817.0,116.0
"Dunklin County, Missouri",29,069,353.0,690.0,55.0,8001.0,29574.0,984.0,1012.0,3957.0,950.0,21573.0,1509.0,1455.0,11022.0,1721.0,1558.0,3999.0,309.0
"Pettis County, Missouri",29,159,271.0,701.0,134.0,7114.0,41398.0,763.0,981.0,3629.0,635.0,34284.0,2589.0,2293.0,18202.0,2895.0,1674.0,5796.0,835.0
"Ste. Genevieve County, Missouri",29,186,61.0,258.0,40.0,2571.0,17571.0,353.0,318.0,1248.0,293.0,15000.0,942.0,738.0,7782.0,1136.0,981.0,3149.0,272.0
"Randolph County, Missouri",29,175,129.0,243.0,119.0,3507.0,22696.0,325.0,500.0,1811.0,380.0,19189.0,1504.0,1362.0,10220.0,1309.0,1015.0,3453.0,326.0
"Franklin County, Missouri",29,071,371.0,1145.0,105.0,10999.0,101479.0,1434.0,1398.0,5479.0,1067.0,90480.0,6207.0,6010.0,49381.0,7252.0,4793.0,15327.0,1510.0
"Howard County, Missouri",29,089,21.0,141.0,77.0,1413.0,9423.0,145.0,213.0,686.0,130.0,8010.0,578.0,513.0,4095.0,635.0,515.0,1545.0,129.0
"Jackson County, Missouri",29,095,2212.0,9647.0,1224.0,103216.0,680802.0,13363.0,13073.0,53077.0,10620.0,577586.0,41747.0,40966.0,329385.0,42182.0,25935.0,87274.0,10097.0
"Miller County, Missouri",29,131,82.0,309.0,61.0,4400.0,24584.0,589.0,575.0,2354.0,430.0,20184.0,1535.0,1255.0,10472.0,1412.0,1082.0,3947.0,481.0
"Pulaski County, Missouri",29,169,198.0,353.0,34.0,6236.0,43211.0,666.0,921.0,3408.0,656.0,36975.0,2897.0,3217.0,22351.0,2817.0,923.0,4277.0,493.0
"Putnam County, Missouri",29,171,43.0,69.0,0.0,859.0,4738.0,108.0,107.0,400.0,132.0,3879.0,258.0,253.0,1772.0,233.0,342.0,944.0,77.0
"Taney County, Missouri",29,213,312.0,1051.0,155.0,9144.0,53033.0,1071.0,980.0,4832.0,743.0,43889.0,2336.0,2811.0,22154.0,3414.0,3014.0,9200.0,960.0
"Texas County, Missouri",29,215,216.0,779.0,56.0,5874.0,24204.0,821.0,587.0,3091.0,324.0,18330.0,1263.0,1003.0,9110.0,1362.0,1367.0,3753.0,472.0
"Buchanan County, Missouri",29,021,319.0,1440.0,154.0,14655.0,84984.0,2125.0,1986.0,7381.0,1250.0,70329.0,4698.0,4805.0,39135.0,5077.0,3664.0,11512.0,1438.0
"Caldwell County, Missouri",29,025,48.0,131.0,38.0,1298.0,8694.0,122.0,137.0,658.0,164.0,7396.0,593.0,446.0,3662.0,573.0,453.0,1508.0,161.0
"Callaway County, Missouri",29,027,88.0,394.0,43.0,4737.0,40723.0,542.0,670.0,2343.0,657.0,35986.0,2704.0,2196.0,19510.0,2432.0,1867.0,6741.0,536.0
"Cass County, Missouri",29,037,315.0,1014.0,207.0,9959.0,101242.0,1208.0,1416.0,4810.0,989.0,91283.0,7780.0,6115.0,49196.0,7226.0,4552.0,14834.0,1580.0
"Clinton County, Missouri",29,049,145.0,170.0,9.0,2153.0,19841.0,255.0,250.0,1122.0,202.0,17688.0,1430.0,990.0,9667.0,1536.0,930.0,2957.0,178.0
"Cooper County, Missouri",29,053,78.0,141.0,48.0,1899.0,16007.0,198.0,213.0,1067.0,154.0,14108.0,1143.0,948.0,7321.0,1129.0,742.0,2545.0,280.0
"Dallas County, Missouri",29,059,76.0,255.0,55.0,2445.0,16251.0,179.0,137.0,1338.0,405.0,13806.0,1347.0,973.0,6572.0,905.0,899.0,2836.0,274.0
"Gentry County, Missouri",29,075,65.0,130.0,43.0,1129.0,6488.0,130.0,132.0,543.0,86.0,5359.0,445.0,423.0,2749.0,395.0,373.0,851.0,123.0
"Hickory County, Missouri",29,085,179.0,404.0,30.0,1612.0,9252.0,112.0,88.0,689.0,110.0,7640.0,357.0,401.0,3119.0,467.0,817.0,2286.0,193.0
"Lincoln County, Missouri",29,113,237.0,594.0,94.0,6915.0,54677.0,794.0,572.0,3710.0,914.0,47762.0,3833.0,3758.0,26915.0,4002.0,1575.0,6920.0,759.0
