NAME,state,county,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
"Emery County, Utah",49,015,52055.0
"Morgan County, Utah",49,029,89274.0
"Cache County, Utah",49,005,56840.0
"Garfield County, Utah",49,017,52337.0
"Juab County, Utah",49,023,62237.0
"Rutland County, Vermont",50,021,54973.0
"Orleans County, Vermont",50,019,47915.0
"Grand Isle County, Vermont",50,013,69583.0
"Orange County, Vermont",50,017,60159.0
"Chittenden County, Vermont",50,007,69896.0
"Lamoille County, Vermont",50,015,60365.0
"Windsor County, Vermont",50,027,58303.0
"Caledonia County, Vermont",50,005,49348.0
"Tazewell County, Virginia",51,185,40978.0
"Windham County, Vermont",50,025,52659.0
"Addison County, Vermont",50,001,65093.0
"Washington County, Vermont",50,023,62108.0
"Falls Church city, Virginia",51,610,124796.0
"Manassas Park city, Virginia",51,685,80667.0
"Poquoson city, Virginia",51,735,96831.0
"Sussex County, Virginia",51,183,45801.0
"Waynesboro city, Virginia",51,820,45738.0
"Roanoke city, Virginia",51,770,43028.0
"Salem city, Virginia",51,775,57185.0
"Norfolk city, Virginia",51,710,49146.0
"Charlotte County, Virginia",51,037,39212.0
"Fairfax County, Virginia",51,059,121133.0
"Greensville County, Virginia",51,081,44534.0
"James City County, Virginia",51,095,83048.0
"Russell County, Virginia",51,167,39482.0
"Smyth County, Virginia",51,173,40425.0
"Lexington city, Virginia",51,678,36466.0
"Campbell County, Virginia",51,031,50258.0
"Henry County, Virginia",51,089,36683.0
"King George County, Virginia",51,099,87321.0
"Lancaster County, Virginia",51,103,50739.0
"Lee County, Virginia",51,105,32718.0
"Mathews County, Virginia",51,115,67009.0
"Middlesex County, Virginia",51,119,51917.0
"Prince George County, Virginia",51,149,67001.0
"Rockingham County, Virginia",51,165,59817.0
"Scott County, Virginia",51,169,39144.0
"Surry County, Virginia",51,181,54844.0
"Appomattox County, Virginia",51,011,56176.0
"Franklin County, Virginia",51,067,52639.0
"King and Queen County, Virginia",51,097,54516.0
"Montgomery County, Virginia",51,121,54641.0
"New Kent County, Virginia",51,127,79698.0
"Cumberland County, Virginia",51,049,46221.0
"Goochland County, Virginia",51,075,89741.0
"Halifax County, Virginia",51,083,42289.0
"Madison County, Virginia",51,113,54197.0
"Prince William County, Virginia",51,153,103445.0
"Southampton County, Virginia",51,175,54611.0
"Highland County, Virginia",51,091,46147.0
"Brunswick County, Virginia",51,025,41927.0
"Caroline County, Virginia",51,033,64715.0
"Gloucester County, Virginia",51,073,66701.0
"Northampton County, Virginia",51,131,43553.0
"Patrick County, Virginia",51,141,40486.0
"Powhatan County, Virginia",51,145,83914.0
"Rockbridge County, Virginia",51,163,54805.0
"Shenandoah County, Virginia",51,171,54921.0
"Fauquier County, Virginia",51,061,97469.0
"Charles City County, Virginia",51,036,59192.0
"Culpeper County, Virginia",51,047,73116.0
"Dinwiddie County, Virginia",51,053,55880.0
"Greene County, Virginia",51,079,64979.0
"Hanover County, Virginia",51,085,88652.0
"Lunenburg County, Virginia",51,111,41868.0
"Orange County, Virginia",51,137,68481.0
"Harrisonburg city, Virginia",51,660,43893.0
"Emporia city, Virginia",51,595,30857.0
"Wythe County, Virginia",51,197,48043.0
"Chesapeake city, Virginia",51,550,75790.0
"Albemarle County, Virginia",51,003,75394.0
"Bedford County, Virginia",51,019,61541.0
"Botetourt County, Virginia",51,023,68410.0
"Wise County, Virginia",51,195,38345.0
"Bristol city, Virginia",51,520,37904.0
"Portsmouth city, Virginia",51,740,50224.0
"Williamsburg city, Virginia",51,830,56163.0
"Alleghany County, Virginia",51,005,47794.0
"Carroll County, Virginia",51,035,43532.0
"Washington County, Virginia",51,191,46262.0
"Northumberland County, Virginia",51,133,58677.0
"Page County, Virginia",51,139,47951.0
"Warren County, Virginia",51,187,68189.0
"Alexandria city, Virginia",51,510,96733.0
"Fredericksburg city, Virginia",51,630,63274.0
"Hampton city, Virginia",51,650,54550.0
"Arlington County, Virginia",51,013,117374.0
"Hopewell city, Virginia",51,670,40497.0
"Buchanan County, Virginia",51,027,30806.0
"Frederick County, Virginia",51,069,73250.0
"Stafford County, Virginia",51,179,106773.0
"York County, Virginia",51,199,90367.0
"Richmond city, Virginia",51,760,45117.0
"Nelson County, Virginia",51,125,62446.0
"Pittsylvania County, Virginia",51,143,45382.0
"Norton city, Virginia",51,720,28071.0
"Fluvanna County, Virginia",51,065,74931.0
"Amelia County, Virginia",51,007,58526.0
"Winchester city, Virginia",51,840,53797.0
"Accomack County, Virginia",51,001,43210.0
"Floyd County, Virginia",51,063,49729.0
"Grayson County, Virginia",51,077,33969.0
"Nottoway County, Virginia",51,135,42869.0
"Harrison County, West Virginia",54,033,50433.0
"Ohio County, West Virginia",54,069,48418.0
"Calhoun County, West Virginia",54,013,37610.0
"Morgan County, West Virginia",54,065,50661.0
"Raleigh County, West Virginia",54,081,42296.0
"Braxton County, West Virginia",54,007,42213.0
"Barbour County, West Virginia",54,001,39580.0
"McDowell County, West Virginia",54,047,26547.0
"Wayne County, West Virginia",54,099,36875.0
"Wyoming County, West Virginia",54,109,40045.0
"Jackson County, West Virginia",54,035,44783.0
"Mercer County, West Virginia",54,055,39372.0
"Upshur County, West Virginia",54,097,40401.0
"Webster County, West Virginia",54,101,34312.0
"Berkeley County, West Virginia",54,003,60615.0
"Fayette County, West Virginia",54,019,40379.0
"Grant County, West Virginia",54,023,41071.0
"Hampshire County, West Virginia",54,027,40099.0
"Summers County, West Virginia",54,089,36049.0
"Brooke County, West Virginia",54,009,49772.0
"Doddridge County, West Virginia",54,017,46449.0
"Mineral County, West Virginia",54,057,46354.0
"Greenbrier County, West Virginia",54,025,39038.0
"Hardy County, West Virginia",54,031,47186.0
"Marion County, West Virginia",54,049,48605.0
"Mingo County, West Virginia",54,059,31305.0
"Hancock County, West Virginia",54,029,45580.0
"Lewis County, West Virginia",54,041,39423.0
"Nicholas County, West Virginia",54,067,38468.0
"Pocahontas County, West Virginia",54,075,39702.0
"Tyler County, West Virginia",54,095,41108.0
"Randolph County, West Virginia",54,083,41094.0
"Taylor County, West Virginia",54,091,47205.0
"Wirt County, West Virginia",54,105,40189.0
"Clay County, West Virginia",54,015,35875.0
"Gilmer County, West Virginia",54,021,35810.0
"Monongalia County, West Virginia",54,061,49926.0
"Monroe County, West Virginia",54,063,36493.0
"Wetzel County, West Virginia",54,103,42125.0
"Cabell County, West Virginia",54,011,38321.0
"Kanawha County, West Virginia",54,039,45426.0
"Pendleton County, West Virginia",54,071,41210.0
"Preston County, West Virginia",54,077,48317.0
"Kitsap County, Washington",53,035,71610.0
"King County, Washington",53,033,89418.0
"Pend Oreille County, Washington",53,051,48583.0
"San Juan County, Washington",53,055,60711.0
"Whitman County, Washington",53,075,42163.0
"Yakima County, Washington",53,077,49871.0
"Cowlitz County, Washington",53,015,51752.0
"Ferry County, Washington",53,019,41924.0
"Lewis County, Washington",53,041,50216.0
"Grays Harbor County, Washington",53,027,47770.0
"Island County, Washington",53,029,64809.0
"Wahkiakum County, Washington",53,069,54085.0
"Franklin County, Washington",53,021,62002.0
"Grant County, Washington",53,025,54982.0
"Whatcom County, Washington",53,073,59285.0
"Okanogan County, Washington",53,047,45808.0
"Kittitas County, Washington",53,037,55193.0
"Benton County, Washington",53,005,65650.0
"Columbia County, Washington",53,013,51111.0
"Asotin County, Washington",53,003,50423.0
"Garfield County, Washington",53,023,52525.0
"Mason County, Washington",53,045,55726.0
"Stevens County, Washington",53,065,49200.0
"Spokane County, Washington",53,063,54852.0
"Chelan County, Washington",53,007,56135.0
"Rock County, Wisconsin",55,105,55832.0
"Waushara County, Wisconsin",55,137,51195.0
"Adams County, Wisconsin",55,001,43280.0
"Bayfield County, Wisconsin",55,007,52910.0
"Lafayette County, Wisconsin",55,065,59629.0
"Monroe County, Wisconsin",55,081,58178.0
"Pierce County, Wisconsin",55,093,72111.0
"Wood County, Wisconsin",55,141,53473.0
"Ashland County, Wisconsin",55,003,43861.0
"Calumet County, Wisconsin",55,015,72530.0
"Florence County, Wisconsin",55,037,49128.0
"Clark County, Wisconsin",55,019,51872.0
"Jefferson County, Wisconsin",55,055,63676.0
"Kenosha County, Wisconsin",55,059,60929.0
"Iron County, Wisconsin",55,051,40801.0
"St. Croix County, Wisconsin",55,109,81124.0
"Oconto County, Wisconsin",55,083,57105.0
"Lincoln County, Wisconsin",55,069,56086.0
"Waupaca County, Wisconsin",55,135,57680.0
"Barron County, Wisconsin",55,005,50903.0
"Sawyer County, Wisconsin",55,113,44555.0
"Green Lake County, Wisconsin",55,047,53260.0
"Marquette County, Wisconsin",55,077,49586.0
"Marinette County, Wisconsin",55,075,47497.0
"Racine County, Wisconsin",55,101,59749.0
"Winnebago County, Wisconsin",55,139,57124.0
"Forest County, Wisconsin",55,041,44313.0
"Grant County, Wisconsin",55,043,52958.0
"Rusk County, Wisconsin",55,107,44302.0
"Sheboygan County, Wisconsin",55,117,58943.0
"Langlade County, Wisconsin",55,067,46557.0
"Outagamie County, Wisconsin",55,087,63536.0
"Vernon County, Wisconsin",55,123,50905.0
"Columbia County, Wisconsin",55,021,65348.0
"Kewaunee County, Wisconsin",55,061,63118.0
"Brown County, Wisconsin",55,009,59963.0
"Marathon County, Wisconsin",55,073,59543.0
"Oneida County, Wisconsin",55,085,54198.0
"Trempealeau County, Wisconsin",55,121,55865.0
"Washburn County, Wisconsin",55,129,48422.0
"Dodge County, Wisconsin",55,027,58870.0
"Walworth County, Wisconsin",55,127,61106.0
"Crawford County, Wisconsin",55,023,48853.0
"Manitowoc County, Wisconsin",55,071,53489.0
"Sauk County, Wisconsin",55,111,56732.0
"Burnett County, Wisconsin",55,013,49982.0
"Chippewa County, Wisconsin",55,017,57288.0
"Door County, Wisconsin",55,029,58287.0
"Douglas County, Wisconsin",55,031,52480.0
"Jackson County, Wisconsin",55,053,52984.0
"Iowa County, Wisconsin",55,049,62785.0
"Ozaukee County, Wisconsin",55,089,82807.0
"Richland County, Wisconsin",55,103,51335.0
"Campbell County, Wyoming",56,005,79916.0
"Johnson County, Wyoming",56,019,55991.0
"Natrona County, Wyoming",56,025,60550.0
"Converse County, Wyoming",56,009,63923.0
"Niobrara County, Wyoming",56,027,39359.0
"Teton County, Wyoming",56,039,83831.0
"Sweetwater County, Wyoming",56,037,73008.0
"Platte County, Wyoming",56,031,47096.0
"Park County, Wyoming",56,029,62666.0
"Sheridan County, Wyoming",56,033,58521.0
"Big Horn County, Wyoming",56,003,53435.0
"Crook County, Wyoming",56,011,64055.0
"Albany County, Wyoming",56,001,46865.0
"Carbon County, Wyoming",56,007,60206.0
"Goshen County, Wyoming",56,015,49774.0
"Uinta County, Wyoming",56,041,58235.0
"Washakie County, Wyoming",56,043,53426.0
"Hot Springs County, Wyoming",56,017,51875.0
"Fremont County, Wyoming",56,013,54242.0
"Sublette County, Wyoming",56,035,78680.0
"Weston County, Wyoming",56,045,52867.0
"Hatillo Municipio, Puerto Rico",72,065,17201.0
"Humacao Municipio, Puerto Rico",72,069,19880.0
"Morovis Municipio, Puerto Rico",72,101,20589.0
"Mayag�ez Municipio, Puerto Rico",72,097,14120.0
"Trujillo Alto Municipio, Puerto Rico",72,139,31193.0
"Quebradillas Municipio, Puerto Rico",72,115,16630.0
"Moca Municipio, Puerto Rico",72,099,14155.0
"Culebra Municipio, Puerto Rico",72,049,23802.0
"Salinas Municipio, Puerto Rico",72,123,16887.0
"Barceloneta Municipio, Puerto Rico",72,017,16889.0
"Yauco Municipio, Puerto Rico",72,153,14954.0
"Guaynabo Municipio, Puerto Rico",72,061,33937.0
"Cabo Rojo Municipio, Puerto Rico",72,023,16080.0
"Fajardo Municipio, Puerto Rico",72,053,19068.0
"Patillas Municipio, Puerto Rico",72,109,15761.0
"Rinc�n Municipio, Puerto Rico",72,117,21591.0
"Aguas Buenas Municipio, Puerto Rico",72,007,17255.0
"Bayam�n Municipio, Puerto Rico",72,021,26017.0
"Cayey Municipio, Puerto Rico",72,035,21320.0
"Maunabo Municipio, Puerto Rico",72,095,19788.0
"Pe�uelas Municipio, Puerto Rico",72,111,17592.0
"San Sebasti�n Municipio, Puerto Rico",72,131,14812.0
"Toa Alta Municipio, Puerto Rico",72,135,28863.0
"Vieques Municipio, Puerto Rico",72,147,15539.0
"Yabucoa Municipio, Puerto Rico",72,151,16013.0
"Caguas Municipio, Puerto Rico",72,025,25006.0
"Can�vanas Municipio, Puerto Rico",72,029,20673.0
"Coamo Municipio, Puerto Rico",72,043,19833.0
"Dorado Municipio, Puerto Rico",72,051,29667.0
"Barranquitas Municipio, Puerto Rico",72,019,15970.0
"Orocovis Municipio, Puerto Rico",72,107,13319.0
"A�asco Municipio, Puerto Rico",72,011,19379.0
"Ceiba Municipio, Puerto Rico",72,037,19103.0
"Comer�o Municipio, Puerto Rico",72,045,12812.0
"Isabela Municipio, Puerto Rico",72,071,16748.0
"Lares Municipio, Puerto Rico",72,081,14540.0
"Las Piedras Municipio, Puerto Rico",72,085,21792.0
"San Juan Municipio, Puerto Rico",72,127,22146.0
"Vega Alta Municipio, Puerto Rico",72,143,18895.0
"Maricao Municipio, Puerto Rico",72,093,13262.0
"Aibonito Municipio, Puerto Rico",72,009,19720.0
"Juncos Municipio, Puerto Rico",72,077,18969.0
"Sabana Grande Municipio, Puerto Rico",72,121,16846.0
"Hormigueros Municipio, Puerto Rico",72,067,19394.0
"Adjuntas Municipio, Puerto Rico",72,001,12902.0
"Camuy Municipio, Puerto Rico",72,027,16831.0
"Gu�nica Municipio, Puerto Rico",72,055,13242.0
"Manat� Municipio, Puerto Rico",72,091,19459.0
"Naguabo Municipio, Puerto Rico",72,103,19356.0
"Naranjito Municipio, Puerto Rico",72,105,19332.0
"San Germ�n Municipio, Puerto Rico",72,125,15619.0
"Utuado Municipio, Puerto Rico",72,141,16533.0
"Arecibo Municipio, Puerto Rico",72,013,18001.0
"Arroyo Municipio, Puerto Rico",72,015,16976.0
"Cata�o Municipio, Puerto Rico",72,033,18253.0
"Florida Municipio, Puerto Rico",72,054,20315.0
"Monroe County, Alabama",01,099,30141.0
"Lawrence County, Alabama",01,079,44515.0
"Lee County, Alabama",01,081,48056.0
"Pickens County, Alabama",01,107,37458.0
"Sumter County, Alabama",01,119,23132.0
"Choctaw County, Alabama",01,023,34884.0
"Marengo County, Alabama",01,091,32809.0
"Russell County, Alabama",01,113,40978.0
"Covington County, Alabama",01,039,40601.0
"Crenshaw County, Alabama",01,041,39812.0
"Lauderdale County, Alabama",01,077,46265.0
"Lowndes County, Alabama",01,085,30833.0
"Limestone County, Alabama",01,083,56460.0
"St. Clair County, Alabama",01,115,54887.0
"Winston County, Alabama",01,133,38504.0
"Cullman County, Alabama",01,043,42558.0
"Elmore County, Alabama",01,051,59347.0
"Jackson County, Alabama",01,071,39816.0
"Talladega County, Alabama",01,121,41012.0
"Washington County, Alabama",01,129,40794.0
"Coffee County, Alabama",01,031,53155.0
"Morgan County, Alabama",01,103,49751.0
"Chilton County, Alabama",01,021,45182.0
"Colbert County, Alabama",01,033,47558.0
"Dale County, Alabama",01,045,45960.0
"Etowah County, Alabama",01,055,44023.0
"DeKalb County, Alabama",01,049,39233.0
"Lamar County, Alabama",01,075,36756.0
"Randolph County, Alabama",01,111,41449.0
"Mobile County, Alabama",01,097,46166.0
"Walker County, Alabama",01,127,41748.0
"Cleburne County, Alabama",01,029,40188.0
"Greene County, Alabama",01,063,21804.0
"Barbour County, Alabama",01,005,34186.0
"Bullock County, Alabama",01,011,32152.0
"Calhoun County, Alabama",01,015,45197.0
"Clarke County, Alabama",01,025,36127.0
"Montgomery County, Alabama",01,101,47990.0
"Marshall County, Alabama",01,095,42490.0
"Henry County, Alabama",01,067,48610.0
"Madison County, Alabama",01,089,63417.0
"Tallapoosa County, Alabama",01,123,43361.0
"Aleutians West Census Area, Alaska",02,016,85517.0
"Wilcox County, Alabama",01,131,27237.0
"Denali Borough, Alaska",02,068,84196.0
"Kenai Peninsula Borough, Alaska",02,122,66684.0
"Bristol Bay Borough, Alaska",02,060,84688.0
"Kodiak Island Borough, Alaska",02,150,78281.0
"Northwest Arctic Borough, Alaska",02,188,62949.0
"Bethel Census Area, Alaska",02,050,54212.0
"North Slope Borough, Alaska",02,185,75431.0
"Sitka City and Borough, Alaska",02,220,71534.0
"Fairbanks North Star Borough, Alaska",02,090,77095.0
"Ketchikan Gateway Borough, Alaska",02,130,70356.0
"Matanuska-Susitna Borough, Alaska",02,170,75905.0
"Nome Census Area, Alaska",02,180,58987.0
"Dillingham Census Area, Alaska",02,070,58750.0
"Haines Borough, Alaska",02,100,64342.0
"Yakutat City and Borough, Alaska",02,282,65833.0
"Juneau City and Borough, Alaska",02,110,88213.0
"Lake and Peninsula Borough, Alaska",02,164,46406.0
"Southeast Fairbanks Census Area, Alaska",02,240,71541.0
"Yukon-Koyukuk Census Area, Alaska",02,290,40000.0
"Anchorage Municipality, Alaska",02,020,83280.0
"Aleutians East Borough, Alaska",02,013,69706.0
"Skagway Municipality, Alaska",02,230,72237.0
"Prince of Wales-Hyder Census Area, Alaska",02,198,54191.0
"Petersburg Borough, Alaska",02,195,66907.0
"Kusilvak Census Area, Alaska",02,158,35539.0
"Maricopa County, Arizona",04,013,61606.0
"Graham County, Arizona",04,009,51352.0
"Santa Cruz County, Arizona",04,023,40467.0
"La Paz County, Arizona",04,012,33333.0
"Mohave County, Arizona",04,015,43266.0
"Coconino County, Arizona",04,005,57616.0
"Yuma County, Arizona",04,027,44058.0
"Greenlee County, Arizona",04,011,60962.0
"Pinal County, Arizona",04,021,55550.0
"St. Francis County, Arkansas",05,123,35356.0
"White County, Arkansas",05,145,43822.0
"Nevada County, Arkansas",05,099,37635.0
"Cross County, Arkansas",05,037,43838.0
"Drew County, Arkansas",05,043,43014.0
"Columbia County, Arkansas",05,027,36148.0
"Saline County, Arkansas",05,125,62152.0
"Van Buren County, Arkansas",05,141,36897.0
"Izard County, Arkansas",05,065,40218.0
"Lincoln County, Arkansas",05,079,45166.0
"Logan County, Arkansas",05,083,39748.0
"Crittenden County, Arkansas",05,035,39002.0
"Franklin County, Arkansas",05,047,39463.0
"Pike County, Arkansas",05,109,37406.0
"Jefferson County, Arkansas",05,069,38289.0
"Montgomery County, Arkansas",05,097,37855.0
"Scott County, Arkansas",05,127,35509.0
"Sebastian County, Arkansas",05,131,43240.0
"Benton County, Arkansas",05,007,64141.0
"Chicot County, Arkansas",05,017,33051.0
"Johnson County, Arkansas",05,071,37170.0
"Lee County, Arkansas",05,077,28367.0
"Pope County, Arkansas",05,115,41914.0
"Desha County, Arkansas",05,041,30234.0
"Fulton County, Arkansas",05,049,36184.0
"Garland County, Arkansas",05,051,43146.0
"Prairie County, Arkansas",05,117,41846.0
"Van Wert County, Ohio",39,161,52754.0
"Washington County, Ohio",39,167,48572.0
"Williams County, Ohio",39,171,49491.0
"Auglaize County, Ohio",39,011,61758.0
"Columbiana County, Ohio",39,029,46306.0
"Darke County, Ohio",39,037,52691.0
"Ottawa County, Ohio",39,123,57918.0
"Fulton County, Ohio",39,051,60231.0
"Hardin County, Ohio",39,065,48773.0
"Jackson County, Ohio",39,079,45340.0
"Lucas County, Ohio",39,095,46924.0
"Morrow County, Ohio",39,117,56010.0
"Noble County, Ohio",39,121,47456.0
"Preble County, Ohio",39,135,55374.0
"Seneca County, Ohio",39,147,49936.0
"Stark County, Ohio",39,151,52190.0
"Allen County, Ohio",39,003,50552.0
"Coshocton County, Ohio",39,031,44491.0
"Crawford County, Ohio",39,033,42892.0
"Delaware County, Ohio",39,041,104322.0
"Guernsey County, Ohio",39,059,43975.0
"Hocking County, Ohio",39,073,50000.0
"Mercer County, Ohio",39,107,59417.0
"Ross County, Ohio",39,141,48403.0
"Cuyahoga County, Ohio",39,035,48435.0
"Lorain County, Ohio",39,093,56965.0
"Miami County, Ohio",39,109,57544.0
"Montgomery County, Ohio",39,113,49314.0
"Trumbull County, Ohio",39,155,45975.0
"Wood County, Ohio",39,173,59789.0
"Ashtabula County, Ohio",39,007,44823.0
"Adair County, Oklahoma",40,001,32986.0
"Stephens County, Oklahoma",40,137,46166.0
"Cimarron County, Oklahoma",40,025,46071.0
"Carter County, Oklahoma",40,019,49216.0
"Grant County, Oklahoma",40,053,56287.0
"Greer County, Oklahoma",40,055,38322.0
"McClain County, Oklahoma",40,087,64492.0
"McIntosh County, Oklahoma",40,091,37086.0
"Murray County, Oklahoma",40,099,51490.0
"Noble County, Oklahoma",40,103,53253.0
"Ottawa County, Oklahoma",40,115,39070.0
"Sequoyah County, Oklahoma",40,135,38328.0
"Wagoner County, Oklahoma",40,145,61566.0
"Woods County, Oklahoma",40,151,56899.0
"Caddo County, Oklahoma",40,015,44588.0
"Muskogee County, Oklahoma",40,101,42689.0
"Okfuskee County, Oklahoma",40,107,38527.0
"Bryan County, Oklahoma",40,013,43245.0
"Harper County, Oklahoma",40,059,50114.0
"Kay County, Oklahoma",40,071,45426.0
"Craig County, Oklahoma",40,035,41701.0
"Tulsa County, Oklahoma",40,143,53902.0
"Canadian County, Oklahoma",40,017,71157.0
"Harmon County, Oklahoma",40,057,41607.0
"Pushmataha County, Oklahoma",40,127,37457.0
"Latimer County, Oklahoma",40,077,42363.0
"Osage County, Oklahoma",40,113,47789.0
"Texas County, Oklahoma",40,139,50450.0
"Garfield County, Oklahoma",40,047,51332.0
"Johnston County, Oklahoma",40,069,40077.0
"Pittsburg County, Oklahoma",40,121,45346.0
"Roger Mills County, Oklahoma",40,129,47667.0
"Woodward County, Oklahoma",40,153,58706.0
"Cherokee County, Oklahoma",40,021,40936.0
"Delaware County, Oklahoma",40,041,39742.0
"Ellis County, Oklahoma",40,045,52705.0
"Grady County, Oklahoma",40,051,58177.0
"Payne County, Oklahoma",40,119,40944.0
"Pottawatomie County, Oklahoma",40,125,47683.0
"Creek County, Oklahoma",40,037,49578.0
"Tillman County, Oklahoma",40,141,40462.0
"Washita County, Oklahoma",40,149,52510.0
"Cotton County, Oklahoma",40,033,51623.0
"Kiowa County, Oklahoma",40,075,38209.0
"Le Flore County, Oklahoma",40,079,39769.0
"McCurtain County, Oklahoma",40,089,35829.0
"Major County, Oklahoma",40,093,54118.0
"Mayes County, Oklahoma",40,097,48853.0
"Oklahoma County, Oklahoma",40,109,52855.0
"Custer County, Oklahoma",40,039,48884.0
"Beaver County, Oklahoma",40,007,51996.0
"Love County, Oklahoma",40,085,52007.0
"Beckham County, Oklahoma",40,009,48725.0
"Choctaw County, Oklahoma",40,023,32129.0
"Jackson County, Oklahoma",40,065,45757.0
"Lincoln County, Oklahoma",40,081,49362.0
"Marion County, Oregon",41,047,56097.0
"Jackson County, Oregon",41,029,50851.0
"Grant County, Oregon",41,023,45357.0
"Jefferson County, Oregon",41,031,50339.0
"Clackamas County, Oregon",41,005,76597.0
"Linn County, Oregon",41,043,52097.0
"Tillamook County, Oregon",41,057,47500.0
"Baker County, Oregon",41,001,43921.0
"Josephine County, Oregon",41,033,43046.0
"Umatilla County, Oregon",41,059,51887.0
"Lincoln County, Oregon",41,041,46061.0
"Columbia County, Oregon",41,009,59714.0
"Sherman County, Oregon",41,055,48056.0
"Wasco County, Oregon",41,065,50973.0
"Lane County, Oregon",41,039,49958.0
"Malheur County, Oregon",41,045,42478.0
"Washington County, Oregon",41,067,78010.0
"Morrow County, Oregon",41,049,55440.0
"Clatsop County, Oregon",41,007,52583.0
"Curry County, Oregon",41,015,46396.0
"Gilliam County, Oregon",41,021,42976.0
"Lake County, Oregon",41,037,36627.0
"Union County, Oregon",41,061,48617.0
"Delaware County, Pennsylvania",42,045,71539.0
"Union County, Pennsylvania",42,119,56026.0
"Wayne County, Pennsylvania",42,127,54851.0
"Dauphin County, Pennsylvania",42,043,58916.0
"Westmoreland County, Pennsylvania",42,129,58866.0
"Forest County, Pennsylvania",42,053,38383.0
"Monroe County, Pennsylvania",42,089,63931.0
"Philadelphia County, Pennsylvania",42,101,43744.0
"Blair County, Pennsylvania",42,013,47969.0
"Cambria County, Pennsylvania",42,021,45901.0
"Berks County, Pennsylvania",42,011,61522.0
"Huntingdon County, Pennsylvania",42,061,48597.0
"Lawrence County, Pennsylvania",42,073,48860.0
"Mifflin County, Pennsylvania",42,087,47526.0
"Cumberland County, Pennsylvania",42,041,68895.0
"Allegheny County, Pennsylvania",42,003,58383.0
"Snyder County, Pennsylvania",42,109,57638.0
"Susquehanna County, Pennsylvania",42,115,53059.0
"Crawford County, Pennsylvania",42,039,49144.0
"Erie County, Pennsylvania",42,049,49716.0
"Fulton County, Pennsylvania",42,057,51259.0
"Juniata County, Pennsylvania",42,067,52765.0
"Schuylkill County, Pennsylvania",42,107,49190.0
"Wyoming County, Pennsylvania",42,131,59308.0
"Adams County, Pennsylvania",42,001,64507.0
"Armstrong County, Pennsylvania",42,005,49032.0
"Clinton County, Pennsylvania",42,035,49234.0
"Carbon County, Pennsylvania",42,025,53624.0
"Centre County, Pennsylvania",42,027,58055.0
"Northumberland County, Pennsylvania",42,097,47063.0
"Northampton County, Pennsylvania",42,095,67565.0
"Cameron County, Pennsylvania",42,023,41485.0
"Venango County, Pennsylvania",42,121,47982.0
"Beaver County, Pennsylvania",42,007,55828.0
"Bucks County, Pennsylvania",42,017,86055.0
"Lackawanna County, Pennsylvania",42,069,50875.0
"McKean County, Pennsylvania",42,083,46953.0
"Fayette County, Pennsylvania",42,051,44476.0
"Montgomery County, Pennsylvania",42,091,88166.0
"Greene County, Pennsylvania",42,059,54121.0
"Lebanon County, Pennsylvania",42,075,59114.0
"Luzerne County, Pennsylvania",42,079,51646.0
"Montour County, Pennsylvania",42,093,57183.0
"Columbia County, Pennsylvania",42,037,49889.0
"Butler County, Pennsylvania",42,019,68472.0
"Jefferson County, Pennsylvania",42,065,46818.0
"Lancaster County, Pennsylvania",42,071,63823.0
"Perry County, Pennsylvania",42,099,62266.0
"Potter County, Pennsylvania",42,105,42821.0
"Tioga County, Pennsylvania",42,117,50667.0
"Providence County, Rhode Island",44,007,55233.0
"Bristol County, Rhode Island",44,001,75578.0
"Newport County, Rhode Island",44,005,77237.0
"Aiken County, South Carolina",45,003,50036.0
"Newberry County, South Carolina",45,071,42765.0
"Edgefield County, South Carolina",45,037,49200.0
"Clarendon County, South Carolina",45,027,37525.0
"Colleton County, South Carolina",45,029,36276.0
"Sumter County, South Carolina",45,085,43792.0
"Lexington County, South Carolina",45,063,59593.0
"Barnwell County, South Carolina",45,011,36566.0
"York County, South Carolina",45,091,62431.0
"Berkeley County, South Carolina",45,015,59995.0
"Darlington County, South Carolina",45,031,36254.0
"Georgetown County, South Carolina",45,043,48071.0
"Anderson County, South Carolina",45,007,47906.0
"Chesterfield County, South Carolina",45,025,40033.0
"Greenwood County, South Carolina",45,047,40982.0
"Horry County, South Carolina",45,051,48279.0
"Kershaw County, South Carolina",45,055,49392.0
"Orangeburg County, South Carolina",45,075,36188.0
"Abbeville County, South Carolina",45,001,36685.0
"Bamberg County, South Carolina",45,009,32229.0
"Calhoun County, South Carolina",45,017,44534.0
"Dillon County, South Carolina",45,033,29362.0
"Richland County, South Carolina",45,079,53922.0
"Fairfield County, South Carolina",45,039,36294.0
"Hampton County, South Carolina",45,049,32453.0
"Greenville County, South Carolina",45,045,56789.0
"Lancaster County, South Carolina",45,057,55223.0
"Dorchester County, South Carolina",45,035,61698.0
"Florence County, South Carolina",45,041,45479.0
"Laurens County, South Carolina",45,059,41578.0
"McCormick County, South Carolina",45,065,42262.0
"Pickens County, South Carolina",45,077,47024.0
"Union County, South Carolina",45,087,40120.0
"Williamsburg County, South Carolina",45,089,32351.0
"Aurora County, South Dakota",46,003,59293.0
"Grant County, South Dakota",46,051,62532.0
"Tripp County, South Dakota",46,123,51027.0
"Jackson County, South Dakota",46,071,33438.0
