NAME,state,county,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
"Ozark County, Missouri",29,153,32601.0
"Pike County, Missouri",29,163,45753.0
"St. Charles County, Missouri",29,183,81411.0
"Custer County, Montana",30,017,55841.0
"Hill County, Montana",30,041,47141.0
"Powder River County, Montana",30,075,52457.0
"Park County, Montana",30,067,49194.0
"Roosevelt County, Montana",30,085,42904.0
"Blaine County, Montana",30,005,38083.0
"Liberty County, Montana",30,051,47419.0
"Richland County, Montana",30,083,67272.0
"Teton County, Montana",30,099,51862.0
"Toole County, Montana",30,101,46823.0
"Fallon County, Montana",30,025,60750.0
"Daniels County, Montana",30,019,54750.0
"Judith Basin County, Montana",30,045,45764.0
"Silver Bow County, Montana",30,093,42237.0
"Deer Lodge County, Montana",30,023,41783.0
"Jefferson County, Montana",30,043,66867.0
"McCone County, Montana",30,055,47500.0
"Wheatland County, Montana",30,107,41186.0
"Rosebud County, Montana",30,087,56549.0
"Carter County, Montana",30,011,44196.0
"Dawson County, Montana",30,021,59820.0
"Broadwater County, Montana",30,007,56469.0
"Lake County, Montana",30,047,45488.0
"Pondera County, Montana",30,073,45458.0
"Yellowstone County, Montana",30,111,59117.0
"Ravalli County, Montana",30,081,48930.0
"Valley County, Montana",30,105,55882.0
"Fergus County, Montana",30,027,50327.0
"Mineral County, Montana",30,061,41905.0
"Petroleum County, Montana",30,069,44688.0
"Sanders County, Montana",30,089,36984.0
"Flathead County, Montana",30,029,52966.0
"Wibaux County, Montana",30,109,50202.0
"Meagher County, Montana",30,059,43109.0
"Carbon County, Montana",30,009,57538.0
"Phillips County, Montana",30,071,46222.0
"Adams County, Nebraska",31,001,51536.0
"Lancaster County, Nebraska",31,109,58009.0
"Boone County, Nebraska",31,011,54063.0
"Rock County, Nebraska",31,149,52604.0
"Banner County, Nebraska",31,007,59625.0
"Sherman County, Nebraska",31,163,51172.0
"Richardson County, Nebraska",31,147,48096.0
"Howard County, Nebraska",31,093,54399.0
"Holt County, Nebraska",31,089,57468.0
"Furnas County, Nebraska",31,065,47989.0
"Gosper County, Nebraska",31,073,62545.0
"Saline County, Nebraska",31,151,51143.0
"Sarpy County, Nebraska",31,153,79549.0
"Thurston County, Nebraska",31,173,48149.0
"Washington County, Nebraska",31,177,70753.0
"Boyd County, Nebraska",31,015,50729.0
"Cherry County, Nebraska",31,031,53684.0
"Dodge County, Nebraska",31,053,53101.0
"Fillmore County, Nebraska",31,059,55625.0
"Garden County, Nebraska",31,069,44471.0
"Hooker County, Nebraska",31,091,39115.0
"Morrill County, Nebraska",31,123,45121.0
"Nemaha County, Nebraska",31,127,51922.0
"Seward County, Nebraska",31,159,67591.0
"Thomas County, Nebraska",31,171,50682.0
"Dakota County, Nebraska",31,043,55017.0
"Webster County, Nebraska",31,181,42298.0
"Antelope County, Nebraska",31,003,48716.0
"Butler County, Nebraska",31,023,55562.0
"Clay County, Nebraska",31,035,56316.0
"Custer County, Nebraska",31,041,49891.0
"Gage County, Nebraska",31,067,51662.0
"Hamilton County, Nebraska",31,081,64042.0
"Kearney County, Nebraska",31,099,56952.0
"Keith County, Nebraska",31,101,48901.0
"Madison County, Nebraska",31,119,52857.0
"Perkins County, Nebraska",31,135,62469.0
"Saunders County, Nebraska",31,155,66718.0
"Wayne County, Nebraska",31,179,62623.0
"Keya Paha County, Nebraska",31,103,49688.0
"Knox County, Nebraska",31,107,49752.0
"Lincoln County, Nebraska",31,111,56794.0
"Pierce County, Nebraska",31,139,56620.0
"Sioux County, Nebraska",31,165,46875.0
"Cass County, Nebraska",31,025,71139.0
"Dixon County, Nebraska",31,051,56775.0
"Dundy County, Nebraska",31,057,44350.0
"Greeley County, Nebraska",31,077,47128.0
"Hall County, Nebraska",31,079,54742.0
"Otoe County, Nebraska",31,131,54828.0
"Red Willow County, Nebraska",31,145,46859.0
"Dawes County, Nebraska",31,045,51748.0
"Cheyenne County, Nebraska",31,033,56538.0
"Dawson County, Nebraska",31,047,53769.0
"Valley County, Nebraska",31,175,55170.0
"McPherson County, Nebraska",31,117,48882.0
"Nance County, Nebraska",31,125,45833.0
"Stanton County, Nebraska",31,167,62687.0
"Harlan County, Nebraska",31,083,50344.0
"Blaine County, Nebraska",31,009,50870.0
"Buffalo County, Nebraska",31,019,56952.0
"Deuel County, Nebraska",31,049,48500.0
"Hitchcock County, Nebraska",31,087,42902.0
"Platte County, Nebraska",31,141,62617.0
"Thayer County, Nebraska",31,169,50734.0
"Box Butte County, Nebraska",31,013,56412.0
"Churchill County, Nevada",32,001,51514.0
"Douglas County, Nevada",32,005,62503.0
"Pershing County, Nevada",32,027,50846.0
"Esmeralda County, Nevada",32,009,40000.0
"Humboldt County, Nevada",32,013,70373.0
"Mineral County, Nevada",32,021,41163.0
"White Pine County, Nevada",32,033,62993.0
"Elko County, Nevada",32,007,77209.0
"Lincoln County, Nevada",32,017,56414.0
"Nye County, Nevada",32,023,45711.0
"Storey County, Nevada",32,029,62284.0
"Washoe County, Nevada",32,031,61155.0
"Clark County, Nevada",32,003,56802.0
"Carson City, Nevada",32,510,52034.0
"Lyon County, Nevada",32,019,55493.0
"Cheshire County, New Hampshire",33,005,63057.0
"Merrimack County, New Hampshire",33,013,72478.0
"Grafton County, New Hampshire",33,009,63153.0
"Rockingham County, New Hampshire",33,015,90429.0
"Belknap County, New Hampshire",33,001,68368.0
"Sullivan County, New Hampshire",33,019,60780.0
"Hillsborough County, New Hampshire",33,011,78655.0
"Strafford County, New Hampshire",33,017,70650.0
"Coos County, New Hampshire",33,007,45696.0
"Carroll County, New Hampshire",33,003,61116.0
"Monmouth County, New Jersey",34,025,95699.0
"Sussex County, New Jersey",34,037,90520.0
"Cumberland County, New Jersey",34,011,52593.0
"Essex County, New Jersey",34,013,59302.0
"Ocean County, New Jersey",34,029,68021.0
"Gloucester County, New Jersey",34,015,85160.0
"Salem County, New Jersey",34,033,64309.0
"Passaic County, New Jersey",34,031,66476.0
"Camden County, New Jersey",34,007,67118.0
"Bergen County, New Jersey",34,003,95837.0
"Warren County, New Jersey",34,041,78145.0
"Hudson County, New Jersey",34,017,66289.0
"Burlington County, New Jersey",34,005,84992.0
"Morris County, New Jersey",34,027,111316.0
"Rio Arriba County, New Mexico",35,039,
"San Miguel County, New Mexico",35,047,31660.0
"Torrance County, New Mexico",35,057,37218.0
"Otero County, New Mexico",35,035,42752.0
"Cibola County, New Mexico",35,006,37368.0
"Guadalupe County, New Mexico",35,019,24085.0
"Catron County, New Mexico",35,003,42480.0
"Grant County, New Mexico",35,017,37880.0
"Luna County, New Mexico",35,029,27377.0
"McKinley County, New Mexico",35,031,31674.0
"Taos County, New Mexico",35,055,36758.0
"Colfax County, New Mexico",35,007,33783.0
"Eddy County, New Mexico",35,015,62982.0
"Mora County, New Mexico",35,033,26968.0
"Quay County, New Mexico",35,037,27075.0
"Lincoln County, New Mexico",35,027,42267.0
"Lea County, New Mexico",35,025,59797.0
"Santa Fe County, New Mexico",35,049,59192.0
"Sierra County, New Mexico",35,051,30451.0
"Socorro County, New Mexico",35,053,36146.0
"Do�a Ana County, New Mexico",35,013,39164.0
"Schoharie County, New York",36,095,53989.0
"Onondaga County, New York",36,067,59225.0
"Clinton County, New York",36,019,55178.0
"Seneca County, New York",36,099,54695.0
"Putnam County, New York",36,079,102186.0
"Franklin County, New York",36,033,51696.0
"Ontario County, New York",36,069,63359.0
"Queens County, New York",36,081,64987.0
"Steuben County, New York",36,101,51789.0
"Hamilton County, New York",36,041,57552.0
"Washington County, New York",36,115,54114.0
"Chautauqua County, New York",36,013,45332.0
"Kings County, New York",36,047,56015.0
"New York County, New York",36,061,82459.0
"Tioga County, New York",36,107,60736.0
"Cayuga County, New York",36,011,56579.0
"Orleans County, New York",36,073,51843.0
"Saratoga County, New York",36,091,80839.0
"Rockland County, New York",36,087,91108.0
"Columbia County, New York",36,021,63032.0
"Lewis County, New York",36,049,52380.0
"Niagara County, New York",36,063,54085.0
"Westchester County, New York",36,119,92758.0
"Delaware County, New York",36,025,48827.0
"Essex County, New York",36,031,56196.0
"Montgomery County, New York",36,057,45837.0
"Nassau County, New York",36,059,111240.0
"Richmond County, New York",36,085,79267.0
"Schuyler County, New York",36,097,51479.0
"Tompkins County, New York",36,109,58743.0
"Chenango County, New York",36,017,50595.0
"Cortland County, New York",36,023,54489.0
"Jefferson County, New York",36,045,52268.0
"Oneida County, New York",36,065,53844.0
"Suffolk County, New York",36,103,96675.0
"Wyoming County, New York",36,121,57914.0
"Chemung County, New York",36,015,53299.0
"Oswego County, New York",36,075,53597.0
"Otsego County, New York",36,077,53121.0
"Wayne County, New York",36,117,55765.0
"Albany County, New York",36,001,64535.0
"Broome County, New York",36,007,50859.0
"Erie County, New York",36,029,55673.0
"Madison County, New York",36,053,60228.0
"Sullivan County, New York",36,105,56256.0
"Mitchell County, North Carolina",37,121,44186.0
"Genesee County, New York",36,037,59338.0
"Orange County, New York",36,071,76716.0
"Greene County, North Carolina",37,079,38306.0
"Chowan County, North Carolina",37,041,42621.0
"Caldwell County, North Carolina",37,027,42072.0
"Catawba County, North Carolina",37,035,51157.0
"Craven County, North Carolina",37,049,50870.0
"Edgecombe County, North Carolina",37,065,35516.0
"Harnett County, North Carolina",37,085,51630.0
"Henderson County, North Carolina",37,089,52815.0
"Hyde County, North Carolina",37,095,45466.0
"Mecklenburg County, North Carolina",37,119,64312.0
"Northampton County, North Carolina",37,131,35499.0
"Rowan County, North Carolina",37,159,48667.0
"Vance County, North Carolina",37,181,37282.0
"Currituck County, North Carolina",37,053,66284.0
"Union County, North Carolina",37,179,75397.0
"Forsyth County, North Carolina",37,067,50128.0
"Nash County, North Carolina",37,127,48362.0
"Bladen County, North Carolina",37,017,32378.0
"Dare County, North Carolina",37,055,58012.0
"Warren County, North Carolina",37,185,35962.0
"Wilson County, North Carolina",37,195,42850.0
"Bertie County, North Carolina",37,015,33143.0
"Gates County, North Carolina",37,073,52205.0
"Graham County, North Carolina",37,075,36525.0
"Martin County, North Carolina",37,117,39205.0
"Madison County, North Carolina",37,115,42410.0
"Pamlico County, North Carolina",37,137,44947.0
"Perquimans County, North Carolina",37,143,45915.0
"Polk County, North Carolina",37,149,48834.0
"Randolph County, North Carolina",37,151,45006.0
"Rockingham County, North Carolina",37,157,42490.0
"Stokes County, North Carolina",37,169,46169.0
"Washington County, North Carolina",37,187,35512.0
"Camden County, North Carolina",37,029,63349.0
"Clay County, North Carolina",37,043,38801.0
"Cumberland County, North Carolina",37,051,45716.0
"Gaston County, North Carolina",37,071,49384.0
"Guilford County, North Carolina",37,081,51072.0
"Jackson County, North Carolina",37,099,44028.0
"Moore County, North Carolina",37,125,57899.0
"Robeson County, North Carolina",37,155,33679.0
"Stanly County, North Carolina",37,167,49590.0
"Wake County, North Carolina",37,183,76956.0
"Yancey County, North Carolina",37,199,39888.0
"Chatham County, North Carolina",37,037,63531.0
"McDowell County, North Carolina",37,111,40913.0
"Johnston County, North Carolina",37,101,56842.0
"Jones County, North Carolina",37,103,36892.0
"Person County, North Carolina",37,145,48811.0
"Brunswick County, North Carolina",37,019,54406.0
"Ashe County, North Carolina",37,009,40978.0
"Beaufort County, North Carolina",37,013,43688.0
"Lenoir County, North Carolina",37,107,38387.0
"Rutherford County, North Carolina",37,161,40347.0
"Lincoln County, North Carolina",37,109,53318.0
"Onslow County, North Carolina",37,133,49491.0
"Orange County, North Carolina",37,135,68211.0
"Sampson County, North Carolina",37,163,39068.0
"Yadkin County, North Carolina",37,197,42876.0
"Avery County, North Carolina",37,011,38134.0
"Burke County, North Carolina",37,023,42516.0
"Caswell County, North Carolina",37,033,43961.0
"Davie County, North Carolina",37,059,57611.0
"Duplin County, North Carolina",37,061,38850.0
"Durham County, North Carolina",37,063,58190.0
"Lee County, North Carolina",37,105,48873.0
"New Hanover County, North Carolina",37,129,52716.0
"Wayne County, North Carolina",37,191,42192.0
"Scotland County, North Carolina",37,165,35617.0
"Halifax County, North Carolina",37,083,34251.0
"Alamance County, North Carolina",37,001,45735.0
"Burke County, North Dakota",38,013,74931.0
"Mountrail County, North Dakota",38,061,70678.0
"Williams County, North Dakota",38,105,86575.0
"Billings County, North Dakota",38,007,92604.0
"Kidder County, North Dakota",38,043,57734.0
"Cavalier County, North Dakota",38,019,67591.0
"Grant County, North Dakota",38,037,50962.0
"Pembina County, North Dakota",38,067,64962.0
"Steele County, North Dakota",38,091,65848.0
"Hettinger County, North Dakota",38,041,56761.0
"LaMoure County, North Dakota",38,045,59426.0
"Morton County, North Dakota",38,059,67584.0
"Cass County, North Dakota",38,017,62031.0
"Dunn County, North Dakota",38,025,70500.0
"Emmons County, North Dakota",38,029,51029.0
"McIntosh County, North Dakota",38,051,50739.0
"Nelson County, North Dakota",38,063,48798.0
"Richland County, North Dakota",38,077,61990.0
"Rolette County, North Dakota",38,079,39884.0
"Walsh County, North Dakota",38,099,54414.0
"Adams County, North Dakota",38,001,54875.0
"Bottineau County, North Dakota",38,009,59882.0
"Barnes County, North Dakota",38,003,57064.0
"Eddy County, North Dakota",38,027,51563.0
"Grand Forks County, North Dakota",38,035,51951.0
"McKenzie County, North Dakota",38,053,80732.0
"Mercer County, North Dakota",38,057,79890.0
"McLean County, North Dakota",38,055,65648.0
"Pierce County, North Dakota",38,069,48802.0
"Ransom County, North Dakota",38,073,61810.0
"Sioux County, North Dakota",38,085,40862.0
"Bowman County, North Dakota",38,011,65063.0
"Golden Valley County, North Dakota",38,033,56087.0
"Logan County, North Dakota",38,047,58144.0
"Towner County, North Dakota",38,095,53696.0
"Stutsman County, North Dakota",38,093,57642.0
"Divide County, North Dakota",38,023,60074.0
"Foster County, North Dakota",38,031,60613.0
"Sargent County, North Dakota",38,081,67200.0
"Slope County, North Dakota",38,087,63942.0
"Stark County, North Dakota",38,089,75708.0
"Gallia County, Ohio",39,053,42113.0
"Huron County, Ohio",39,077,51559.0
"Athens County, Ohio",39,009,37778.0
"Adams County, Ohio",39,001,36894.0
"Medina County, Ohio",39,103,74243.0
"Union County, Ohio",39,159,82775.0
"Champaign County, Ohio",39,021,57103.0
"Paulding County, Ohio",39,125,51933.0
"Greene County, Ohio",39,057,67109.0
"Franklin County, Ohio",39,049,58762.0
"Marion County, Ohio",39,101,45464.0
"Morgan County, Ohio",39,115,41731.0
"Wayne County, Ohio",39,169,56348.0
"Wyandot County, Ohio",39,175,52940.0
"Butler County, Ohio",39,017,63358.0
"Harrison County, Ohio",39,067,48462.0
"Knox County, Ohio",39,083,55131.0
"Richland County, Ohio",39,139,47346.0
"Vinton County, Ohio",39,163,42114.0
"Hancock County, Ohio",39,063,55644.0
"Fairfield County, Ohio",39,045,66175.0
"Defiance County, Ohio",39,039,57665.0
"Henry County, Ohio",39,069,59083.0
"Jefferson County, Ohio",39,081,44819.0
"Putnam County, Ohio",39,137,62001.0
"Clinton County, Ohio",39,027,51354.0
"Fayette County, Ohio",39,047,46478.0
"Pickaway County, Ohio",39,129,62214.0
"Logan County, Ohio",39,091,55150.0
"Summit County, Ohio",39,153,55448.0
"Sandusky County, Ohio",39,143,51701.0
"Shelby County, Ohio",39,149,61042.0
"Cottonwood County, Minnesota",27,033,53354.0
"Scott County, Minnesota",27,139,97744.0
"Dodge County, Minnesota",27,039,71669.0
"Wabasha County, Minnesota",27,157,65138.0
"Pipestone County, Minnesota",27,117,52309.0
"Crow Wing County, Minnesota",27,035,54508.0
"Norman County, Minnesota",27,107,55206.0
"Wright County, Minnesota",27,171,81881.0
"Nicollet County, Minnesota",27,103,65027.0
"Douglas County, Minnesota",27,041,60676.0
"Grant County, Minnesota",27,051,55912.0
"Kittson County, Minnesota",27,069,57112.0
"Le Sueur County, Minnesota",27,079,67451.0
"Mahnomen County, Minnesota",27,087,44537.0
"Chisago County, Minnesota",27,025,80409.0
"Redwood County, Minnesota",27,127,53230.0
"Yellow Medicine County, Minnesota",27,173,56943.0
"Todd County, Minnesota",27,153,52872.0
"Beltrami County, Minnesota",27,007,47410.0
"Blue Earth County, Minnesota",27,013,55861.0
"Houston County, Minnesota",27,055,58729.0
"Lac qui Parle County, Minnesota",27,073,52199.0
"Lake of the Woods County, Minnesota",27,077,49068.0
"Otter Tail County, Minnesota",27,111,57131.0
"Waseca County, Minnesota",27,161,55612.0
"St. Louis County, Minnesota",27,137,53344.0
"Anoka County, Minnesota",27,003,79923.0
"Stearns County, Minnesota",27,145,60606.0
"Lincoln County, Minnesota",27,081,52301.0
"Marshall County, Minnesota",27,089,58723.0
"Mille Lacs County, Minnesota",27,095,53888.0
"Washington County, Minnesota",27,163,92376.0
"Carlton County, Minnesota",27,017,60390.0
"Kanabec County, Minnesota",27,065,53300.0
"Koochiching County, Minnesota",27,071,47129.0
"Red Lake County, Minnesota",27,125,56588.0
"Morrison County, Minnesota",27,097,54962.0
"Rice County, Minnesota",27,131,65758.0
"Steele County, Minnesota",27,147,62731.0
"Aitkin County, Minnesota",27,001,45989.0
"Faribault County, Minnesota",27,043,52286.0
"Murray County, Minnesota",27,101,57500.0
"Kandiyohi County, Minnesota",27,067,59089.0
"Lake County, Minnesota",27,075,59516.0
"Rock County, Minnesota",27,133,59890.0
"Sibley County, Minnesota",27,143,62761.0
"Traverse County, Minnesota",27,155,48784.0
"Becker County, Minnesota",27,005,59278.0
"Hennepin County, Minnesota",27,053,74113.0
