Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),79.8,,,75.4,83.6,459042,,,
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),78.9,,,72.6,84,228898,,,
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence (%),66.3,,,56.9,74.6,56916,,,
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence (%),82.1,,,72.6,88.9,60350,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),83.3,,,78.9,86.9,803603,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),68.3,,,55,79.2,57479,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence (%),76.8,,,67.6,84,154000,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence (%),80.5,,,68,88.9,59227,,,
2018,MI,Michigan,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),79.2,,,76.3,81.8,1344393,,,
2018,MI,Michigan,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),75.7,,,67.6,82.3,260879,,,
2018,MI,Michigan,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence (%),73.8,,,61.1,83.4,68992,,,
2018,MI,Michigan,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence (%),73.9,,,64.6,81.5,72716,,,
2018,MN,Minnesota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),80.2,,,77.6,82.6,668581,,,
2018,MN,Minnesota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),69.8,,,59.1,78.7,35838,,,
2018,MN,Minnesota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence (%),68.7,,,60.4,76,29598,,,
2018,MN,Minnesota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence (%),72.8,,,63.6,80.3,40402,,,
2018,MS,Mississippi,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),68.8,,,63.9,73.3,380823,,,
2018,MS,Mississippi,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),67.8,,,62.4,72.8,203667,,,
2018,MS,Mississippi,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,MS,Mississippi,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence (%),52.9,,,39.4,66,17266,,,
2018,MO,Missouri,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence (%),74.1,,,69.4,78.3,897497,,,
2018,MO,Missouri,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence (%),72.6,,,60.7,82,115387,,,
2018,MO,Missouri,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
